Iteration,Timestamp,L_Pitch,L_Roll,R_Pitch,R_Roll,X_Vel,Z_Vel,Notes1,X_Vel_Pred_SBack,Z_Vel_Pred_SBack
0,20-07-2023 12:53:00.434,23,2,18,-4,0.5,0.0,STANDING,,
1,20-07-2023 12:53:00.454,20,1,18,-3,0.5,0.0,STANDING,,
2,20-07-2023 12:53:00.475,20,-1,18,-3,0.5,0.0,STANDING,,
3,20-07-2023 12:53:00.495,19,1,18,-3,0.5,0.0,STANDING,,
4,20-07-2023 12:53:00.515,20,0,18,-4,0.5,0.17145,MOTION_A,,
5,20-07-2023 12:53:00.533,20,0,16,-3,0.5,0.17145,MOTION_A,,
6,20-07-2023 12:53:00.555,20,0,17,-3,0.5,0.17145,MOTION_A,,
7,20-07-2023 12:53:00.574,19,1,20,-4,0.5,0.17145,MOTION_A,,
8,20-07-2023 12:53:00.594,19,1,21,-5,0.5,0.17145,MOTION_A,,
9,20-07-2023 12:53:00.615,19,2,21,-9,0.5,0.17145,MOTION_A,0.5332993268966675,6.57886266708374e-06
10,20-07-2023 12:53:00.634,19,2,15,-13,0.5,0.17145,MOTION_A,0.5331363677978516,1.8231570720672607e-05
11,20-07-2023 12:53:00.654,19,1,17,-12,0.5,0.17145,MOTION_A,0.5332762598991394,8.227303624153137e-06
12,20-07-2023 12:53:00.674,19,1,14,-12,0.5,0.17145,MOTION_A,0.533226490020752,1.1786818504333496e-05
13,20-07-2023 12:53:00.695,19,1,10,-11,0.5,0.17145,MOTION_A,0.5331686735153198,1.592189073562622e-05
14,20-07-2023 12:53:00.714,19,1,9,-11,0.5,0.17145,MOTION_A,0.5332556962966919,9.696930646896362e-06
15,20-07-2023 12:53:00.736,19,1,8,-13,0.5,0.17145,MOTION_A,0.5331783890724182,1.5225261449813843e-05
16,20-07-2023 12:53:00.756,19,1,8,-14,0.5,0.17145,MOTION_A,0.533239483833313,1.085922122001648e-05
17,20-07-2023 12:53:00.774,19,1,8,-14,0.5,0.17145,MOTION_A,0.5332119464874268,1.282617449760437e-05
18,20-07-2023 12:53:00.795,19,1,9,-13,0.5,0.17145,MOTION_A,0.5332014560699463,1.3576820492744446e-05
19,20-07-2023 12:53:00.813,19,1,11,-14,0.5,0.17145,MOTION_A,0.5332324504852295,1.1360272765159607e-05
20,20-07-2023 12:53:00.833,19,1,13,-15,0.5,0.17145,MOTION_A,0.5332103967666626,1.2937933206558228e-05
21,20-07-2023 12:53:00.855,19,1,17,-17,0.5,0.17145,MOTION_A,0.5332229733467102,1.2040138244628906e-05
22,20-07-2023 12:53:00.873,19,1,25,-19,0.5,0.17145,MOTION_A,0.5332301259040833,1.1524185538291931e-05
23,20-07-2023 12:53:00.894,19,1,27,-15,0.5,0.17145,MOTION_A,0.5332208871841431,1.2187287211418152e-05
24,20-07-2023 12:53:00.915,19,1,29,-11,0.5,0.17145,MOTION_A,0.5332159996032715,1.2537464499473572e-05
25,20-07-2023 12:53:00.936,19,1,34,-13,0.5,0.17145,MOTION_A,0.533255398273468,9.719282388687134e-06
