Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,X_Vel,Z_Vel,Notes1,Notes2,Notes3,Notes4,Classification
23-08-2023 11:38:21.424,0,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.441,1,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.474,2,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.491,3,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.507,4,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.524,5,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.540,6,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.573,7,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.590,8,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.607,9,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.623,10,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.640,11,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.673,12,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.690,13,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.707,14,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.724,15,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.741,16,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.774,17,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.791,18,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.807,19,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.824,20,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.841,21,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.873,22,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.891,23,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.908,24,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.924,25,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.941,26,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.974,27,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:21.991,28,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.007,29,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.024,30,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.040,31,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.074,32,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.091,33,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.107,34,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.123,35,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.140,36,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.173,37,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.190,38,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.207,39,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.224,40,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.240,41,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.275,42,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.290,43,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.307,44,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.324,45,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.340,46,21,8,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.374,47,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.390,48,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.407,49,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.423,50,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.440,51,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.474,52,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.490,53,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.507,54,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.524,55,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.540,56,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.574,57,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.590,58,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.607,59,21,7,23,-10,,,CUTOFF,,,,
23-08-2023 11:38:22.623,60,21,7,23,-10,,,CUTOFF,,,,
