Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll
12-06-2023 17:20:09.135,0,18,6,17,-6
12-06-2023 17:20:09.156,1,18,7,17,-6
12-06-2023 17:20:09.174,2,18,7,17,-6
12-06-2023 17:20:09.192,3,18,7,17,-6
12-06-2023 17:20:09.219,4,18,6,17,-6
12-06-2023 17:20:09.233,5,18,6,17,-6
12-06-2023 17:20:09.253,6,18,6,17,-6
12-06-2023 17:20:09.272,7,18,6,17,-6
12-06-2023 17:20:09.293,8,18,6,17,-6
12-06-2023 17:20:09.314,9,18,6,17,-6
12-06-2023 17:20:09.332,10,18,6,17,-6
12-06-2023 17:20:09.354,11,18,6,17,-6
12-06-2023 17:20:09.379,12,18,6,17,-6
12-06-2023 17:20:09.392,13,18,6,17,-6
12-06-2023 17:20:09.414,14,18,6,17,-6
12-06-2023 17:20:09.434,15,18,6,17,-6
12-06-2023 17:20:09.454,16,18,6,17,-6
12-06-2023 17:20:09.473,17,18,6,17,-6
12-06-2023 17:20:09.495,18,18,6,17,-6
12-06-2023 17:20:09.512,19,18,6,17,-6
12-06-2023 17:20:09.538,20,18,6,17,-6
12-06-2023 17:20:09.553,21,18,6,17,-6
12-06-2023 17:20:09.573,22,18,6,17,-6
12-06-2023 17:20:09.594,23,18,6,17,-6
12-06-2023 17:20:09.612,24,18,6,17,-6
12-06-2023 17:20:09.634,25,18,6,17,-6
12-06-2023 17:20:09.652,26,18,6,17,-6
12-06-2023 17:20:09.675,27,18,6,17,-6
12-06-2023 17:20:09.692,28,18,6,17,-6
12-06-2023 17:20:09.713,29,18,6,17,-6
12-06-2023 17:20:09.733,30,18,6,18,-6
12-06-2023 17:20:09.756,31,18,6,18,-6
12-06-2023 17:20:09.772,32,18,6,18,-6
12-06-2023 17:20:09.792,33,18,6,17,-6
12-06-2023 17:20:09.814,34,18,6,18,-6
12-06-2023 17:20:09.833,35,18,7,18,-6
12-06-2023 17:20:09.852,36,18,6,18,-6
12-06-2023 17:20:09.874,37,18,6,18,-6
12-06-2023 17:20:09.895,38,18,6,18,-6
12-06-2023 17:20:09.914,39,18,6,18,-6
12-06-2023 17:20:09.932,40,18,6,18,-6
12-06-2023 17:20:09.953,41,18,6,18,-6
12-06-2023 17:20:09.973,42,18,6,18,-6
12-06-2023 17:20:09.994,43,18,7,18,-6
12-06-2023 17:20:10.014,44,18,7,18,-6
12-06-2023 17:20:10.032,45,18,6,18,-6
12-06-2023 17:20:10.052,46,18,7,18,-6
12-06-2023 17:20:10.074,47,18,6,18,-6
12-06-2023 17:20:10.093,48,18,7,18,-6
12-06-2023 17:20:10.113,49,18,7,17,-6
12-06-2023 17:20:10.133,50,18,7,17,-6
12-06-2023 17:20:10.154,51,18,7,17,-6
12-06-2023 17:20:10.172,52,18,7,18,-6
12-06-2023 17:20:10.193,53,18,7,18,-6
12-06-2023 17:20:10.213,54,18,7,18,-6
12-06-2023 17:20:10.231,55,18,7,18,-6
12-06-2023 17:20:10.253,56,18,7,17,-6
12-06-2023 17:20:10.271,57,18,7,18,-6
12-06-2023 17:20:10.293,58,18,7,17,-6
12-06-2023 17:20:10.314,59,18,7,17,-6
12-06-2023 17:20:10.333,60,18,7,17,-6
12-06-2023 17:20:10.354,61,18,7,17,-6
12-06-2023 17:20:10.371,62,18,7,17,-6
12-06-2023 17:20:10.392,63,18,7,17,-6
12-06-2023 17:20:10.414,64,18,7,17,-6
12-06-2023 17:20:10.433,65,18,7,17,-6
12-06-2023 17:20:10.454,66,18,6,17,-6
12-06-2023 17:20:10.473,67,18,6,17,-6
12-06-2023 17:20:10.495,68,18,6,17,-6
12-06-2023 17:20:10.513,69,18,6,17,-6
12-06-2023 17:20:10.532,70,18,6,17,-6
12-06-2023 17:20:10.554,71,18,6,17,-6
