Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,,,
09-06-2023 11:00:21.551,0,16,54,40,-2,,,
09-06-2023 11:00:21.570,1,16,54,40,-2,,,
09-06-2023 11:00:21.593,2,16,54,40,-2,,,
09-06-2023 11:00:21.613,3,16,53,40,-2,,,
09-06-2023 11:00:21.631,4,16,53,40,-2,,,
09-06-2023 11:00:21.653,5,16,53,40,-2,,,
09-06-2023 11:00:21.670,6,16,53,40,-2,,,
09-06-2023 11:00:21.693,7,16,53,40,-2,,,
09-06-2023 11:00:21.711,8,16,53,40,-2,,,
09-06-2023 11:00:21.732,9,16,53,40,-2,,,
09-06-2023 11:00:21.751,10,17,53,40,-2,,,
09-06-2023 11:00:21.773,11,17,53,40,-2,,,
09-06-2023 11:00:21.792,12,17,53,40,-2,,,
09-06-2023 11:00:21.810,13,17,53,40,-2,,,
09-06-2023 11:00:21.831,14,17,53,40,-2,,,
09-06-2023 11:00:21.851,15,17,53,40,-2,,,
09-06-2023 11:00:21.870,16,17,53,40,-2,,,
09-06-2023 11:00:21.892,17,17,53,40,-2,,,
09-06-2023 11:00:21.912,18,17,53,40,-2,,,
09-06-2023 11:00:21.930,19,17,53,40,-2,,,
09-06-2023 11:00:21.950,20,17,53,40,-2,,,
09-06-2023 11:00:21.970,21,17,53,40,-2,,,
09-06-2023 11:00:21.991,22,17,53,40,-2,,,
09-06-2023 11:00:22.013,23,17,53,40,-2,,,
09-06-2023 11:00:22.032,24,17,53,40,-2,,,
09-06-2023 11:00:22.051,25,17,53,40,-2,,,
09-06-2023 11:00:22.070,26,17,53,40,-2,,,
09-06-2023 11:00:22.090,27,17,53,40,-2,,,
09-06-2023 11:00:22.111,28,17,53,40,-2,,,
09-06-2023 11:00:22.132,29,17,53,40,-2,,,
09-06-2023 11:00:22.151,30,17,53,40,-2,,,
09-06-2023 11:00:22.171,31,17,53,40,-2,,,
09-06-2023 11:00:22.191,32,17,53,40,-2,,,
09-06-2023 11:00:22.211,33,17,53,40,-2,,,
09-06-2023 11:00:22.230,34,17,53,40,-2,,,
09-06-2023 11:00:22.252,35,17,53,40,-2,,,
09-06-2023 11:00:22.272,36,17,53,40,-2,,,
09-06-2023 11:00:22.292,37,17,53,40,-2,,,
09-06-2023 11:00:22.312,38,17,53,40,-2,,,
09-06-2023 11:00:22.331,39,17,53,40,-2,,,
09-06-2023 11:00:22.352,40,17,53,40,-2,,,
09-06-2023 11:00:22.372,41,17,53,40,-2,,,
09-06-2023 11:00:22.392,42,17,53,40,-2,,,
09-06-2023 11:00:22.411,43,17,53,40,-2,,,
09-06-2023 11:00:22.432,44,17,53,40,-2,,,
09-06-2023 11:00:22.450,45,17,53,40,-2,,,
09-06-2023 11:00:22.472,46,17,53,40,-2,,,
09-06-2023 11:00:22.490,47,17,53,40,-2,,,
09-06-2023 11:00:22.511,48,17,53,40,-2,,,
09-06-2023 11:00:22.533,49,17,53,40,-2,,,
09-06-2023 11:00:22.550,50,17,53,40,-2,,,
09-06-2023 11:00:22.571,51,17,53,40,-2,,,
09-06-2023 11:00:22.592,52,17,53,40,-2,,,
09-06-2023 11:00:22.611,53,17,53,40,-2,,,
09-06-2023 11:00:22.630,54,17,53,40,-2,,,
09-06-2023 11:00:22.652,55,17,53,40,-2,,,
09-06-2023 11:00:22.671,56,17,53,40,-2,,,
09-06-2023 11:00:22.692,57,17,53,40,-2,,,
09-06-2023 11:00:22.712,58,17,53,40,-2,,,
09-06-2023 11:00:22.732,59,17,53,40,-2,,,
09-06-2023 11:00:22.751,60,17,53,40,-2,,,
09-06-2023 11:00:22.771,61,17,53,40,-2,,,
