Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,X_Vel,Z_Vel,Notes
12-06-2023 18:04:49.520,0,20,5,17,-7,,,
12-06-2023 18:04:49.539,1,20,5,17,-7,,,
12-06-2023 18:04:49.557,2,20,5,17,-7,,,
12-06-2023 18:04:49.582,3,20,5,17,-7,,,
12-06-2023 18:04:49.599,4,20,5,17,-7,,,
12-06-2023 18:04:49.621,5,20,5,17,-7,,,
12-06-2023 18:04:49.638,6,20,5,17,-7,,,
12-06-2023 18:04:49.658,7,20,5,17,-7,,,
12-06-2023 18:04:49.679,8,20,5,17,-7,,,
12-06-2023 18:04:49.699,9,20,5,17,-7,,,
12-06-2023 18:04:49.719,10,20,5,17,-7,,,
12-06-2023 18:04:49.739,11,20,5,17,-7,,,
12-06-2023 18:04:49.759,12,20,5,17,-7,,,
12-06-2023 18:04:49.781,13,20,5,17,-7,,,
12-06-2023 18:04:49.801,14,20,5,17,-7,,,
12-06-2023 18:04:49.818,15,20,5,17,-7,,,
12-06-2023 18:04:49.839,16,20,5,17,-7,,,
12-06-2023 18:04:49.862,17,20,5,17,-7,,,
12-06-2023 18:04:49.878,18,20,5,17,-7,,,
12-06-2023 18:04:49.898,19,20,5,17,-7,,,
12-06-2023 18:04:49.918,20,20,5,17,-7,,,
12-06-2023 18:04:49.938,21,20,5,17,-7,,,
12-06-2023 18:04:49.957,22,20,5,17,-7,,,
12-06-2023 18:04:49.982,23,20,5,17,-7,,,
12-06-2023 18:04:50.001,24,20,5,17,-7,,,
12-06-2023 18:04:50.018,25,20,5,17,-7,,,
12-06-2023 18:04:50.040,26,20,5,17,-7,,,
12-06-2023 18:04:50.061,27,20,5,17,-7,,,
12-06-2023 18:04:50.081,28,20,5,17,-7,,,
12-06-2023 18:04:50.098,29,20,5,17,-7,,,
12-06-2023 18:04:50.120,30,20,5,17,-7,,,
12-06-2023 18:04:50.139,31,20,5,17,-7,,,
12-06-2023 18:04:50.157,32,20,5,17,-7,,,
12-06-2023 18:04:50.178,33,20,5,17,-7,,,
12-06-2023 18:04:50.203,34,20,5,17,-7,,,
12-06-2023 18:04:50.219,35,20,5,17,-7,,,
12-06-2023 18:04:50.237,36,20,5,17,-7,,,
12-06-2023 18:04:50.262,37,20,5,17,-7,,,
12-06-2023 18:04:50.277,38,20,5,17,-7,,,
12-06-2023 18:04:50.300,39,20,5,17,-7,,,
12-06-2023 18:04:50.317,40,20,5,17,-7,,,
12-06-2023 18:04:50.342,41,20,5,17,-7,,,
12-06-2023 18:04:50.360,42,20,5,17,-7,,,
12-06-2023 18:04:50.380,43,20,5,17,-7,,,
12-06-2023 18:04:50.401,44,20,5,17,-7,,,
12-06-2023 18:04:50.423,45,20,5,17,-7,,,
12-06-2023 18:04:50.443,46,20,5,17,-7,,,
12-06-2023 18:04:50.469,47,20,5,17,-7,,,
12-06-2023 18:04:50.489,48,20,5,17,-7,,,
12-06-2023 18:04:50.499,49,20,5,17,-7,,,
