Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll
12-06-2023 18:10:09.020,0,20,5,26,-8
12-06-2023 18:10:09.038,1,20,5,26,-8
12-06-2023 18:10:09.059,2,20,5,26,-8
12-06-2023 18:10:09.077,3,20,5,26,-8
12-06-2023 18:10:09.097,4,20,5,26,-8
12-06-2023 18:10:09.118,5,20,5,26,-8
12-06-2023 18:10:09.138,6,20,5,26,-8
12-06-2023 18:10:09.161,7,20,5,26,-8
12-06-2023 18:10:09.178,8,20,5,26,-8
12-06-2023 18:10:09.197,9,20,5,26,-8
12-06-2023 18:10:09.219,10,20,5,26,-8
12-06-2023 18:10:09.239,11,20,5,26,-8
12-06-2023 18:10:09.257,12,20,5,26,-8
12-06-2023 18:10:09.278,13,20,4,26,-8
12-06-2023 18:10:09.299,14,20,4,26,-8
12-06-2023 18:10:09.319,15,20,6,26,-8
12-06-2023 18:10:09.338,16,21,8,26,-8
12-06-2023 18:10:09.357,17,19,8,27,-8
12-06-2023 18:10:09.379,18,19,9,27,-8
12-06-2023 18:10:09.398,19,18,10,27,-8
12-06-2023 18:10:09.418,20,20,12,28,-8
12-06-2023 18:10:09.438,21,21,14,28,-8
12-06-2023 18:10:09.457,22,23,14,28,-8
12-06-2023 18:10:09.478,23,28,9,28,-8
12-06-2023 18:10:09.498,24,30,7,29,-8
12-06-2023 18:10:09.518,25,32,6,29,-8
12-06-2023 18:10:09.538,26,32,5,29,-8
12-06-2023 18:10:09.557,27,32,6,29,-8
12-06-2023 18:10:09.577,28,32,7,30,-8
12-06-2023 18:10:09.599,29,32,9,30,-8
12-06-2023 18:10:09.617,30,31,9,30,-8
12-06-2023 18:10:09.637,31,29,10,30,-8
12-06-2023 18:10:09.658,32,28,10,30,-8
12-06-2023 18:10:09.679,33,27,11,30,-8
12-06-2023 18:10:09.698,34,25,11,31,-8
12-06-2023 18:10:09.719,35,24,10,31,-8
12-06-2023 18:10:09.739,36,26,12,31,-8
12-06-2023 18:10:09.757,37,25,9,31,-8
12-06-2023 18:10:09.778,38,22,6,31,-8
12-06-2023 18:10:09.799,39,22,6,31,-7
12-06-2023 18:10:09.819,40,20,2,31,-7
12-06-2023 18:10:09.839,41,20,2,31,-7
12-06-2023 18:10:09.858,42,21,3,31,-7
12-06-2023 18:10:09.878,43,22,4,31,-7
12-06-2023 18:10:09.898,44,23,4,31,-7
12-06-2023 18:10:09.918,45,23,4,31,-7
12-06-2023 18:10:09.938,46,23,5,30,-8
12-06-2023 18:10:09.958,47,24,5,30,-8
12-06-2023 18:10:09.977,48,24,5,30,-7
12-06-2023 18:10:09.999,49,24,5,30,-7
12-06-2023 18:10:10.019,50,24,5,29,-7
12-06-2023 18:10:10.038,51,24,5,29,-7
12-06-2023 18:10:10.058,52,23,5,29,-7
12-06-2023 18:10:10.080,53,23,5,29,-7
12-06-2023 18:10:10.097,54,23,5,29,-7
