Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,X_Vel,Z_Vel,Notes1,Notes2,Notes3,Notes4
26-06-2023 09:53:20.789,0,14,9,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.807,1,13,10,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.826,2,13,11,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.849,3,16,10,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.865,4,18,10,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.887,5,20,9,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.905,6,30,7,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.925,7,31,7,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.946,8,24,7,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.966,9,24,7,18,-5,,,CUTOFF,,,
26-06-2023 09:53:20.987,10,25,7,18,-5,,,CUTOFF,,,
26-06-2023 09:53:21.009,11,23,6,18,-4,,,CUTOFF,,,
26-06-2023 09:53:21.029,12,23,6,18,-4,,,CUTOFF,,,
26-06-2023 09:53:21.048,13,23,6,18,-5,,,CUTOFF,,,
26-06-2023 09:53:21.068,14,23,6,18,-5,,,CUTOFF,,,
26-06-2023 09:53:21.085,15,22,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:21.105,16,22,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:21.126,17,22,5,21,-5,,,CUTOFF,,,
26-06-2023 09:53:21.144,18,22,5,24,-4,,,CUTOFF,,,
26-06-2023 09:53:21.167,19,21,5,27,-4,,,CUTOFF,,,
26-06-2023 09:53:21.184,20,21,5,30,-5,,,CUTOFF,,,
26-06-2023 09:53:21.205,21,21,5,30,-5,,,CUTOFF,,,
26-06-2023 09:53:21.226,22,21,5,33,-5,,,CUTOFF,,,
26-06-2023 09:53:21.248,23,21,5,34,-5,,,CUTOFF,,,
26-06-2023 09:53:21.266,24,21,5,34,-5,,,CUTOFF,,,
26-06-2023 09:53:21.286,25,21,5,34,-6,,,CUTOFF,,,
26-06-2023 09:53:21.304,26,21,5,34,-6,,,CUTOFF,,,
26-06-2023 09:53:21.326,27,21,5,34,-6,,,CUTOFF,,,
26-06-2023 09:53:21.345,28,20,5,32,-6,,,CUTOFF,,,
26-06-2023 09:53:21.366,29,20,5,30,-5,,,CUTOFF,,,
26-06-2023 09:53:21.387,30,20,5,29,-5,,,CUTOFF,,,
26-06-2023 09:53:21.406,31,20,5,27,-5,,,CUTOFF,,,
26-06-2023 09:53:21.426,32,20,5,27,-6,,,CUTOFF,,,
26-06-2023 09:53:21.447,33,20,5,25,-6,,,CUTOFF,,,
26-06-2023 09:53:21.465,34,20,5,23,-8,,,CUTOFF,,,
26-06-2023 09:53:21.486,35,20,5,20,-9,,,CUTOFF,,,
26-06-2023 09:53:21.504,36,20,5,20,-9,,,CUTOFF,,,
26-06-2023 09:53:21.527,37,20,5,19,-9,,,CUTOFF,,,
26-06-2023 09:53:21.545,38,20,5,15,-11,,,CUTOFF,,,
26-06-2023 09:53:21.567,39,20,5,13,-12,,,CUTOFF,,,
26-06-2023 09:53:21.585,40,20,5,12,-11,,,CUTOFF,,,
26-06-2023 09:53:21.604,41,20,5,12,-11,,,CUTOFF,,,
26-06-2023 09:53:21.624,42,20,5,12,-11,,,CUTOFF,,,
26-06-2023 09:53:21.647,43,20,5,13,-10,,,CUTOFF,,,
26-06-2023 09:53:21.665,44,20,5,13,-9,,,CUTOFF,,,
26-06-2023 09:53:21.684,45,20,5,13,-9,,,CUTOFF,,,
26-06-2023 09:53:21.704,46,20,5,14,-9,,,CUTOFF,,,
26-06-2023 09:53:21.725,47,20,5,15,-9,,,CUTOFF,,,
26-06-2023 09:53:21.746,48,20,5,14,-8,,,CUTOFF,,,
26-06-2023 09:53:21.764,49,20,5,15,-8,,,CUTOFF,,,
26-06-2023 09:53:21.786,50,20,5,15,-8,,,CUTOFF,,,
26-06-2023 09:53:21.808,51,20,5,15,-7,,,CUTOFF,,,
26-06-2023 09:53:21.824,52,20,5,16,-7,,,CUTOFF,,,
26-06-2023 09:53:21.847,53,20,5,16,-7,,,CUTOFF,,,
26-06-2023 09:53:21.867,54,20,5,16,-7,,,CUTOFF,,,
26-06-2023 09:53:21.885,55,20,5,16,-7,,,CUTOFF,,,
26-06-2023 09:53:21.905,56,20,5,17,-6,,,CUTOFF,,,
26-06-2023 09:53:21.925,57,20,5,17,-6,,,CUTOFF,,,
26-06-2023 09:53:21.946,58,20,5,17,-6,,,CUTOFF,,,
26-06-2023 09:53:21.964,59,20,5,17,-6,,,CUTOFF,,,
26-06-2023 09:53:21.986,60,20,5,17,-6,,,CUTOFF,,,
26-06-2023 09:53:22.004,61,20,5,18,-6,,,CUTOFF,,,
26-06-2023 09:53:22.025,62,20,5,18,-6,,,CUTOFF,,,
26-06-2023 09:53:22.047,63,20,4,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.069,64,20,4,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.088,65,19,4,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.107,66,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.127,67,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.145,68,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.167,69,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.186,70,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.208,71,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.226,72,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.245,73,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.265,74,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.283,75,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.305,76,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.327,77,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.343,78,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.364,79,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.386,80,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.405,81,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.426,82,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.445,83,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.466,84,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.486,85,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.506,86,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.526,87,19,5,18,-5,,,CUTOFF,,,
26-06-2023 09:53:22.547,88,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.565,89,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.584,90,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.610,91,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.625,92,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.646,93,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.665,94,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.684,95,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.704,96,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.726,97,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.746,98,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.766,99,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.784,100,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.804,101,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.825,102,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.844,103,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.867,104,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.886,105,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.905,106,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.926,107,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.946,108,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.964,109,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:22.985,110,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.006,111,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.024,112,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.045,113,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.066,114,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.085,115,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.105,116,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.129,117,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.145,118,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.167,119,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.188,120,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.204,121,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.225,122,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.250,123,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.268,124,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.287,125,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.307,126,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.326,127,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.347,128,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.365,129,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.387,130,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.403,131,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.427,132,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.444,133,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.464,134,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.487,135,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.504,136,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.528,137,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.545,138,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.565,139,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.585,140,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.605,141,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.625,142,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.646,143,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.666,144,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.684,145,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.705,146,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.724,147,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.745,148,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.765,149,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.785,150,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.805,151,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.826,152,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.847,153,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.867,154,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.886,155,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.904,156,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.927,157,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.946,158,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.964,159,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:23.983,160,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.004,161,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.029,162,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.049,163,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.071,164,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.089,165,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.105,166,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.124,167,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.149,168,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.165,169,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.186,170,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.205,171,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.225,172,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.245,173,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.266,174,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.287,175,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.304,176,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.326,177,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.345,178,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.372,179,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.386,180,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.407,181,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.432,182,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.451,183,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.471,184,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.486,185,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.509,186,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.530,187,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.544,188,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.566,189,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.585,190,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.605,191,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.627,192,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.646,193,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.671,194,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.688,195,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.704,196,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.724,197,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.745,198,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.769,199,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.784,200,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.806,201,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.824,202,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.847,203,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.866,204,19,5,19,-5,,,CUTOFF,,,
26-06-2023 09:53:24.889,205,19,5,19,-5,,,CUTOFF,,,
