Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,Unnamed: 6,Unnamed: 7,Unnamed: 8
12-06-2023 18:17:14.893,2282,17,2,18,-3,,,
12-06-2023 18:17:14.913,2283,17,2,18,-3,,,START LARGE FAST STEP
12-06-2023 18:17:14.935,2284,17,2,18,-3,,,
12-06-2023 18:17:14.954,2285,17,2,18,-3,,,
12-06-2023 18:17:14.974,2286,17,2,18,-3,,,
12-06-2023 18:17:14.995,2287,17,2,18,-3,,,
12-06-2023 18:17:15.013,2288,17,2,18,-3,,,
12-06-2023 18:17:15.032,2289,17,2,18,-3,,,
12-06-2023 18:17:15.054,2290,17,2,18,-3,,,
12-06-2023 18:17:15.071,2291,17,2,18,-3,,,
12-06-2023 18:17:15.095,2292,17,2,18,-3,,,
12-06-2023 18:17:15.114,2293,17,2,18,-3,,,
12-06-2023 18:17:15.132,2294,17,2,18,-3,,,
12-06-2023 18:17:15.152,2295,17,2,18,-3,,,
12-06-2023 18:17:15.173,2296,17,2,18,-3,,,
12-06-2023 18:17:15.195,2297,17,2,18,-3,,,
12-06-2023 18:17:15.213,2298,17,2,18,-3,,,
12-06-2023 18:17:15.232,2299,17,2,18,-3,,,
12-06-2023 18:17:15.255,2300,17,2,18,-3,,,
12-06-2023 18:17:15.274,2301,18,2,18,-3,,,
12-06-2023 18:17:15.292,2302,19,4,18,-3,,,
12-06-2023 18:17:15.312,2303,20,4,18,-3,,,
12-06-2023 18:17:15.332,2304,21,5,18,-3,,,
12-06-2023 18:17:15.352,2305,24,6,18,-3,,,
12-06-2023 18:17:15.371,2306,26,6,18,-3,,,
12-06-2023 18:17:15.395,2307,28,5,17,-2,,,
12-06-2023 18:17:15.412,2308,26,3,17,-2,,,
12-06-2023 18:17:15.435,2309,24,3,17,-3,,,
12-06-2023 18:17:15.453,2310,19,4,17,-4,,,
12-06-2023 18:17:15.472,2311,17,5,15,-4,,,
12-06-2023 18:17:15.492,2312,17,5,23,-5,,,
12-06-2023 18:17:15.514,2313,16,4,24,-4,,,
12-06-2023 18:17:15.536,2314,16,4,37,-6,,,
12-06-2023 18:17:15.556,2315,16,4,32,-7,,,
12-06-2023 18:17:15.574,2316,17,4,22,-9,,,
12-06-2023 18:17:15.595,2317,17,5,19,-6,,,
12-06-2023 18:17:15.615,2318,17,5,13,-7,,,
12-06-2023 18:17:15.631,2319,17,5,12,-7,,,
12-06-2023 18:17:15.656,2320,17,4,10,-3,,,
12-06-2023 18:17:15.674,2321,17,4,10,-2,,,
12-06-2023 18:17:15.693,2322,17,4,11,-1,,,
12-06-2023 18:17:15.713,2323,17,4,14,-1,,,
12-06-2023 18:17:15.740,2324,17,4,17,0,,,
12-06-2023 18:17:15.752,2325,18,4,25,-1,,,
12-06-2023 18:17:15.774,2326,18,4,33,3,,,
12-06-2023 18:17:15.793,2327,18,5,27,3,,,
12-06-2023 18:17:15.813,2328,18,4,30,-1,,,
12-06-2023 18:17:15.831,2329,17,4,33,1,,,
12-06-2023 18:17:15.852,2330,18,4,38,-2,,,
12-06-2023 18:17:15.873,2331,17,4,39,-2,,,
12-06-2023 18:17:15.897,2332,16,5,40,-5,,,
