Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,X_Vel,Z_Vel,Notes
12-06-2023 17:31:00.160,11557,17,2,17,-5,,,
12-06-2023 17:31:00.180,11558,18,2,17,-5,,,START LARGE STEP
12-06-2023 17:31:00.201,11559,17,2,17,-5,,,
12-06-2023 17:31:00.222,11560,18,2,17,-5,,,
12-06-2023 17:31:00.244,11561,18,2,17,-5,,,
12-06-2023 17:31:00.260,11562,18,2,17,-5,,,
12-06-2023 17:31:00.281,11563,18,2,17,-5,,,
12-06-2023 17:31:00.302,11564,18,2,17,-5,,,
12-06-2023 17:31:00.322,11565,18,2,17,-5,,,
12-06-2023 17:31:00.345,11566,18,2,17,-5,,,
12-06-2023 17:31:00.363,11567,18,2,17,-5,,,
12-06-2023 17:31:00.383,11568,18,2,17,-5,,,
12-06-2023 17:31:00.400,11569,18,3,17,-5,,,
12-06-2023 17:31:00.422,11570,18,4,17,-5,,,
12-06-2023 17:31:00.441,11571,19,5,17,-5,,,
12-06-2023 17:31:00.459,11572,20,5,17,-5,,,
12-06-2023 17:31:00.482,11573,20,4,17,-6,,,
12-06-2023 17:31:00.500,11574,19,4,17,-6,,,
12-06-2023 17:31:00.523,11575,18,3,17,-6,,,
12-06-2023 17:31:00.542,11576,17,2,16,-6,,,
12-06-2023 17:31:00.563,11577,17,2,17,-6,,,
12-06-2023 17:31:00.581,11578,17,3,20,-8,,,
12-06-2023 17:31:00.602,11579,17,3,21,-7,,,
12-06-2023 17:31:00.621,11580,17,3,38,-6,,,
12-06-2023 17:31:00.640,11581,17,2,41,-7,,,
12-06-2023 17:31:00.659,11582,17,2,31,-6,,,
12-06-2023 17:31:00.680,11583,17,2,30,-10,,,
12-06-2023 17:31:00.702,11584,17,2,33,-6,,,
12-06-2023 17:31:00.722,11585,17,2,26,-7,,,
12-06-2023 17:31:00.745,11586,17,1,23,-2,,,
12-06-2023 17:31:00.763,11587,17,1,18,1,,,
12-06-2023 17:31:00.784,11588,17,1,15,-2,,,
12-06-2023 17:31:00.801,11589,17,1,13,-3,,,
12-06-2023 17:31:00.820,11590,17,1,10,0,,,
12-06-2023 17:31:00.841,11591,17,1,9,0,,,
12-06-2023 17:31:00.865,11592,17,1,9,-1,,,
12-06-2023 17:31:00.881,11593,17,0,12,-7,,,
12-06-2023 17:31:00.901,11594,17,0,14,-10,,,
12-06-2023 17:31:00.924,11595,18,0,16,1,,,
12-06-2023 17:31:00.944,11596,18,1,13,1,,,
12-06-2023 17:31:00.960,11597,18,1,16,0,,,
12-06-2023 17:31:00.982,11598,18,1,21,-1,,,
12-06-2023 17:31:01.001,11599,18,0,27,0,,,
12-06-2023 17:31:01.021,11600,18,0,29,0,,,
12-06-2023 17:31:01.040,11601,18,0,34,-2,,,
12-06-2023 17:31:01.060,11602,18,0,34,-1,,,
