Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll
12-06-2023 17:23:19.854,9536,18,2,17,-2
12-06-2023 17:23:19.873,9537,18,2,17,-2
12-06-2023 17:23:19.894,9538,18,2,17,-2
12-06-2023 17:23:19.914,9539,18,2,17,-2
12-06-2023 17:23:19.934,9540,18,2,17,-2
12-06-2023 17:23:19.954,9541,18,2,17,-3
12-06-2023 17:23:19.976,9542,18,2,17,-3
12-06-2023 17:23:19.992,9543,18,2,17,-3
12-06-2023 17:23:20.013,9544,18,2,17,-2
12-06-2023 17:23:20.036,9545,18,2,17,-2
12-06-2023 17:23:20.054,9546,18,2,17,-2
12-06-2023 17:23:20.073,9547,18,2,17,-2
12-06-2023 17:23:20.095,9548,18,2,17,-2
12-06-2023 17:23:20.113,9549,18,2,17,-3
12-06-2023 17:23:20.136,9550,18,2,17,-3
12-06-2023 17:23:20.153,9551,18,2,17,-3
12-06-2023 17:23:20.173,9552,18,2,17,-3
12-06-2023 17:23:20.192,9553,17,2,17,-3
12-06-2023 17:23:20.217,9554,17,2,17,-3
12-06-2023 17:23:20.235,9555,16,2,17,-3
12-06-2023 17:23:20.253,9556,14,3,17,-3
12-06-2023 17:23:20.282,9557,23,4,17,-3
12-06-2023 17:23:20.296,9558,26,3,17,-2
12-06-2023 17:23:20.312,9559,28,5,17,-2
12-06-2023 17:23:20.336,9560,21,6,17,-2
12-06-2023 17:23:20.354,9561,20,4,17,-2
12-06-2023 17:23:20.373,9562,22,5,17,-2
12-06-2023 17:23:20.395,9563,19,3,17,-2
12-06-2023 17:23:20.415,9564,17,2,17,-2
12-06-2023 17:23:20.435,9565,15,2,17,-2
12-06-2023 17:23:20.452,9566,14,3,17,-2
12-06-2023 17:23:20.473,9567,13,3,17,-2
12-06-2023 17:23:20.494,9568,12,3,17,-2
12-06-2023 17:23:20.512,9569,12,1,17,-2
12-06-2023 17:23:20.534,9570,12,-1,17,-2
12-06-2023 17:23:20.555,9571,12,-3,17,-2
12-06-2023 17:23:20.573,9572,13,-3,17,-2
12-06-2023 17:23:20.593,9573,15,-2,17,-2
12-06-2023 17:23:20.615,9574,16,-1,17,-2
12-06-2023 17:23:20.633,9575,30,-2,16,-2
12-06-2023 17:23:20.654,9576,25,2,17,-1
12-06-2023 17:23:20.673,9577,11,-11,16,-2
12-06-2023 17:23:20.694,9578,24,2,16,-3
12-06-2023 17:23:20.716,9579,12,-2,16,-3
12-06-2023 17:23:20.734,9580,13,-3,16,-2
12-06-2023 17:23:20.753,9581,16,1,17,-2
12-06-2023 17:23:20.774,9582,14,-1,17,-1
12-06-2023 17:23:20.794,9583,12,0,17,-1
12-06-2023 17:23:20.814,9584,12,2,17,-1
12-06-2023 17:23:20.836,9585,17,5,17,-1
12-06-2023 17:23:20.854,9586,19,7,17,-1
12-06-2023 17:23:20.874,9587,23,8,17,-1
12-06-2023 17:23:20.895,9588,27,6,17,-1
12-06-2023 17:23:20.915,9589,28,6,17,-1
12-06-2023 17:23:20.936,9590,29,6,17,-1
12-06-2023 17:23:20.955,9591,30,7,17,-1
12-06-2023 17:23:20.973,9592,29,8,17,-1
12-06-2023 17:23:20.993,9593,29,8,17,-1
12-06-2023 17:23:21.013,9594,28,8,17,-1
12-06-2023 17:23:21.034,9595,27,10,17,-1
12-06-2023 17:23:21.054,9596,25,9,17,-1
12-06-2023 17:23:21.072,9597,23,8,17,-1
12-06-2023 17:23:21.095,9598,21,6,17,-1
12-06-2023 17:23:21.115,9599,19,3,17,-1
12-06-2023 17:23:21.135,9600,16,3,17,-1
12-06-2023 17:23:21.156,9601,15,2,17,-1
12-06-2023 17:23:21.172,9602,13,-2,17,-1
12-06-2023 17:23:21.196,9603,11,-4,17,-1
12-06-2023 17:23:21.215,9604,10,-6,17,-1
12-06-2023 17:23:21.233,9605,10,-6,17,-1
12-06-2023 17:23:21.255,9606,8,-4,17,-1
12-06-2023 17:23:21.272,9607,7,-4,17,-1
12-06-2023 17:23:21.295,9608,5,-1,17,-1
12-06-2023 17:23:21.315,9609,6,-2,17,-1
12-06-2023 17:23:21.333,9610,5,-4,17,-1
12-06-2023 17:23:21.354,9611,5,-5,17,-1
12-06-2023 17:23:21.374,9612,5,-3,17,-1
12-06-2023 17:23:21.393,9613,6,-2,17,-1
12-06-2023 17:23:21.411,9614,4,-5,17,-1
12-06-2023 17:23:21.434,9615,4,-5,17,-1
12-06-2023 17:23:21.455,9616,5,-3,17,-1
12-06-2023 17:23:21.474,9617,6,-2,17,-1
12-06-2023 17:23:21.493,9618,6,-2,17,-1
12-06-2023 17:23:21.514,9619,8,-2,17,-1
12-06-2023 17:23:21.537,9620,9,-1,17,-1
12-06-2023 17:23:21.552,9621,10,-1,17,-1
12-06-2023 17:23:21.573,9622,12,3,17,-1
12-06-2023 17:23:21.594,9623,12,8,17,-1
12-06-2023 17:23:21.614,9624,13,10,17,-1
12-06-2023 17:23:21.632,9625,15,11,17,-1
12-06-2023 17:23:21.652,9626,19,12,17,-1
12-06-2023 17:23:21.673,9627,21,11,17,-1
12-06-2023 17:23:21.694,9628,22,11,17,-1
