Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll
12-06-2023 17:20:44.973,1792,17,1,17,-3
12-06-2023 17:20:44.994,1793,17,1,17,-3
12-06-2023 17:20:45.013,1794,17,1,17,-3
12-06-2023 17:20:45.032,1795,17,1,17,-3
12-06-2023 17:20:45.053,1796,17,1,17,-3
12-06-2023 17:20:45.072,1797,17,1,17,-3
12-06-2023 17:20:45.094,1798,17,1,17,-3
12-06-2023 17:20:45.114,1799,17,1,17,-3
12-06-2023 17:20:45.134,1800,17,1,17,-4
12-06-2023 17:20:45.154,1801,17,1,17,-4
12-06-2023 17:20:45.176,1802,17,1,17,-4
12-06-2023 17:20:45.193,1803,17,1,17,-4
12-06-2023 17:20:45.214,1804,17,1,17,-4
12-06-2023 17:20:45.232,1805,17,1,17,-4
12-06-2023 17:20:45.252,1806,17,1,17,-3
12-06-2023 17:20:45.272,1807,17,1,17,-4
12-06-2023 17:20:45.292,1808,17,1,17,-3
12-06-2023 17:20:45.315,1809,17,0,17,-3
12-06-2023 17:20:45.333,1810,17,0,17,-4
12-06-2023 17:20:45.354,1811,16,1,17,-4
12-06-2023 17:20:45.372,1812,18,2,17,-4
12-06-2023 17:20:45.395,1813,22,-1,17,-4
12-06-2023 17:20:45.413,1814,26,-5,17,-3
12-06-2023 17:20:45.434,1815,27,-7,17,-3
12-06-2023 17:20:45.453,1816,28,-10,17,-4
12-06-2023 17:20:45.474,1817,29,-12,18,-4
12-06-2023 17:20:45.491,1818,29,-13,18,-4
12-06-2023 17:20:45.514,1819,29,-14,18,-4
12-06-2023 17:20:45.534,1820,29,-15,18,-4
12-06-2023 17:20:45.553,1821,29,-15,18,-4
12-06-2023 17:20:45.574,1822,29,-14,18,-4
12-06-2023 17:20:45.592,1823,29,-13,18,-4
12-06-2023 17:20:45.612,1824,28,-11,18,-4
12-06-2023 17:20:45.632,1825,26,-6,18,-4
12-06-2023 17:20:45.653,1826,23,-2,18,-4
12-06-2023 17:20:45.674,1827,22,0,18,-4
12-06-2023 17:20:45.692,1828,20,6,18,-4
12-06-2023 17:20:45.713,1829,16,13,18,-4
12-06-2023 17:20:45.732,1830,20,16,18,-4
12-06-2023 17:20:45.755,1831,23,14,17,-4
12-06-2023 17:20:45.772,1832,20,6,17,-4
12-06-2023 17:20:45.792,1833,23,11,17,-4
12-06-2023 17:20:45.812,1834,20,4,17,-3
12-06-2023 17:20:45.838,1835,21,2,18,-3
12-06-2023 17:20:45.852,1836,21,3,18,-3
12-06-2023 17:20:45.875,1837,20,1,18,-3
12-06-2023 17:20:45.894,1838,20,1,17,-3
12-06-2023 17:20:45.917,1839,20,1,17,-3
12-06-2023 17:20:45.932,1840,21,-1,17,-2
12-06-2023 17:20:45.954,1841,23,0,17,-2
12-06-2023 17:20:45.975,1842,23,2,17,-2
12-06-2023 17:20:45.997,1843,24,7,17,-2
12-06-2023 17:20:46.015,1844,24,10,17,-2
12-06-2023 17:20:46.034,1845,24,12,17,-2
12-06-2023 17:20:46.053,1846,23,16,18,-2
12-06-2023 17:20:46.075,1847,22,17,18,-2
12-06-2023 17:20:46.097,1848,22,19,18,-1
12-06-2023 17:20:46.113,1849,21,20,18,-1
12-06-2023 17:20:46.135,1850,20,17,18,-1
12-06-2023 17:20:46.154,1851,19,16,18,-2
12-06-2023 17:20:46.172,1852,19,12,18,-2
12-06-2023 17:20:46.194,1853,19,9,18,-2
12-06-2023 17:20:46.214,1854,19,8,18,-2
12-06-2023 17:20:46.234,1855,20,4,18,-2
12-06-2023 17:20:46.252,1856,21,0,18,-2
12-06-2023 17:20:46.272,1857,22,-2,18,-2
12-06-2023 17:20:46.295,1858,22,-7,18,-2
12-06-2023 17:20:46.312,1859,22,-9,17,-3
12-06-2023 17:20:46.333,1860,21,-4,17,-3
12-06-2023 17:20:46.354,1861,22,-4,17,-3
12-06-2023 17:20:46.373,1862,22,-7,17,-3
12-06-2023 17:20:46.396,1863,22,-7,17,-2
12-06-2023 17:20:46.414,1864,22,-9,17,-3
12-06-2023 17:20:46.431,1865,22,-11,18,-3
12-06-2023 17:20:46.452,1866,22,-11,17,-3
12-06-2023 17:20:46.473,1867,21,-15,17,-3
12-06-2023 17:20:46.496,1868,21,-16,17,-3
12-06-2023 17:20:46.513,1869,21,-16,17,-3
12-06-2023 17:20:46.535,1870,21,-16,17,-4
12-06-2023 17:20:46.552,1871,22,-15,17,-4
12-06-2023 17:20:46.572,1872,22,-16,17,-4
12-06-2023 17:20:46.593,1873,22,-14,18,-3
12-06-2023 17:20:46.616,1874,22,-12,17,-3
12-06-2023 17:20:46.633,1875,22,-10,18,-4
12-06-2023 17:20:46.652,1876,22,-6,17,-4
12-06-2023 17:20:46.673,1877,20,-2,17,-3
12-06-2023 17:20:46.695,1878,19,0,17,-3
12-06-2023 17:20:46.711,1879,24,2,17,-3
12-06-2023 17:20:46.733,1880,25,14,18,-3
12-06-2023 17:20:46.753,1881,19,14,18,-4
12-06-2023 17:20:46.773,1882,26,7,18,-3
12-06-2023 17:20:46.791,1883,28,13,18,-3
12-06-2023 17:20:46.814,1884,21,8,18,-3
12-06-2023 17:20:46.832,1885,22,6,18,-3
12-06-2023 17:20:46.853,1886,20,2,18,-3
12-06-2023 17:20:46.871,1887,20,3,17,-3
12-06-2023 17:20:46.892,1888,20,2,18,-2
12-06-2023 17:20:46.916,1889,20,3,18,-3
12-06-2023 17:20:46.934,1890,21,1,18,-3
12-06-2023 17:20:46.953,1891,23,8,18,-2
12-06-2023 17:20:46.972,1892,23,11,18,-2
12-06-2023 17:20:46.994,1893,24,12,17,-2
12-06-2023 17:20:47.013,1894,25,11,17,-2
12-06-2023 17:20:47.032,1895,25,11,17,-2
12-06-2023 17:20:47.055,1896,24,14,17,-2
12-06-2023 17:20:47.072,1897,24,13,17,-2
12-06-2023 17:20:47.095,1898,22,14,17,-2
12-06-2023 17:20:47.113,1899,22,15,17,-2
12-06-2023 17:20:47.133,1900,21,13,17,-2
12-06-2023 17:20:47.153,1901,20,12,17,-3
12-06-2023 17:20:47.173,1902,20,11,17,-3
12-06-2023 17:20:47.194,1903,19,11,17,-3
12-06-2023 17:20:47.213,1904,19,10,17,-3
12-06-2023 17:20:47.232,1905,19,11,17,-3
12-06-2023 17:20:47.252,1906,20,10,17,-3
12-06-2023 17:20:47.274,1907,20,8,17,-3
12-06-2023 17:20:47.295,1908,20,7,17,-3
12-06-2023 17:20:47.313,1909,21,3,17,-2
12-06-2023 17:20:47.332,1910,21,1,17,-2
12-06-2023 17:20:47.354,1911,20,-3,17,-2
12-06-2023 17:20:47.372,1912,20,-5,17,-2
12-06-2023 17:20:47.392,1913,20,-2,17,-2
12-06-2023 17:20:47.413,1914,20,-4,17,-3
12-06-2023 17:20:47.434,1915,20,-6,17,-2
12-06-2023 17:20:47.452,1916,20,-9,17,-2
12-06-2023 17:20:47.473,1917,20,-11,17,-3
12-06-2023 17:20:47.494,1918,20,-13,17,-3
12-06-2023 17:20:47.515,1919,20,-16,17,-2
12-06-2023 17:20:47.532,1920,20,-17,17,-2
12-06-2023 17:20:47.552,1921,21,-17,17,-2
12-06-2023 17:20:47.574,1922,22,-17,17,-3
12-06-2023 17:20:47.594,1923,22,-16,17,-2
12-06-2023 17:20:47.615,1924,23,-15,17,-3
12-06-2023 17:20:47.634,1925,24,-14,17,-2
12-06-2023 17:20:47.654,1926,24,-13,17,-2
12-06-2023 17:20:47.672,1927,24,-10,17,-2
12-06-2023 17:20:47.693,1928,24,-7,17,-2
12-06-2023 17:20:47.715,1929,24,-4,17,-2
12-06-2023 17:20:47.733,1930,25,-2,17,-2
12-06-2023 17:20:47.753,1931,22,9,17,-2
12-06-2023 17:20:47.771,1932,21,6,17,-2
12-06-2023 17:20:47.792,1933,23,0,17,-2
12-06-2023 17:20:47.813,1934,23,1,17,-3
12-06-2023 17:20:47.831,1935,22,3,17,-2
12-06-2023 17:20:47.852,1936,22,5,17,-2
12-06-2023 17:20:47.873,1937,20,7,17,-2
12-06-2023 17:20:47.894,1938,20,6,17,-2
12-06-2023 17:20:47.912,1939,20,5,17,-3
12-06-2023 17:20:47.933,1940,20,3,17,-2
12-06-2023 17:20:47.954,1941,21,6,17,-2
12-06-2023 17:20:47.973,1942,21,10,17,-2
12-06-2023 17:20:47.991,1943,21,11,17,-2
