Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,Unnamed: 6,Unnamed: 7,Unnamed: 8
12-06-2023 17:29:29.720,7035,18,1,17,-3,,,
12-06-2023 17:29:29.741,7036,18,1,17,-3,,,START MEDIUM STEPS
12-06-2023 17:29:29.765,7037,18,1,17,-3,,,
12-06-2023 17:29:29.781,7038,18,1,17,-3,,,
12-06-2023 17:29:29.804,7039,18,1,17,-3,,,
12-06-2023 17:29:29.824,7040,18,1,17,-3,,,
12-06-2023 17:29:29.843,7041,18,1,17,-3,,,
12-06-2023 17:29:29.863,7042,18,1,17,-3,,,
12-06-2023 17:29:29.881,7043,18,1,17,-3,,,
12-06-2023 17:29:29.903,7044,18,1,17,-3,,,
12-06-2023 17:29:29.921,7045,18,1,17,-3,,,
12-06-2023 17:29:29.942,7046,18,1,17,-3,,,
12-06-2023 17:29:29.963,7047,18,1,17,-3,,,
12-06-2023 17:29:29.980,7048,18,1,17,-3,,,
12-06-2023 17:29:30.001,7049,18,1,17,-3,,,
12-06-2023 17:29:30.020,7050,18,1,17,-3,,,
12-06-2023 17:29:30.044,7051,18,0,17,-3,,,
12-06-2023 17:29:30.063,7052,18,0,17,-3,,,
12-06-2023 17:29:30.082,7053,19,0,17,-3,,,
12-06-2023 17:29:30.102,7054,19,1,17,-3,,,
12-06-2023 17:29:30.119,7055,19,1,17,-3,,,
12-06-2023 17:29:30.140,7056,20,2,17,-3,,,
12-06-2023 17:29:30.160,7057,20,2,17,-3,,,
12-06-2023 17:29:30.182,7058,20,1,17,-3,,,
12-06-2023 17:29:30.202,7059,21,1,17,-3,,,
12-06-2023 17:29:30.221,7060,21,0,17,-3,,,
12-06-2023 17:29:30.243,7061,21,1,17,-3,,,
12-06-2023 17:29:30.263,7062,20,0,17,-3,,,
12-06-2023 17:29:30.282,7063,19,0,17,-3,,,
12-06-2023 17:29:30.302,7064,18,-1,17,-3,,,
12-06-2023 17:29:30.320,7065,17,-1,17,-3,,,
12-06-2023 17:29:30.344,7066,17,-1,17,-4,,,
12-06-2023 17:29:30.361,7067,17,-1,15,-3,,,
12-06-2023 17:29:30.384,7068,17,0,17,-4,,,
12-06-2023 17:29:30.401,7069,17,-1,20,-4,,,
12-06-2023 17:29:30.423,7070,17,-1,22,-4,,,
12-06-2023 17:29:30.442,7071,17,-1,21,-9,,,
12-06-2023 17:29:30.462,7072,17,-1,20,-11,,,
12-06-2023 17:29:30.480,7073,17,-1,20,-10,,,
12-06-2023 17:29:30.502,7074,17,-1,16,-7,,,
12-06-2023 17:29:30.523,7075,17,-1,12,-3,,,
12-06-2023 17:29:30.540,7076,17,-1,10,-4,,,
12-06-2023 17:29:30.560,7077,17,-1,9,-6,,,
12-06-2023 17:29:30.581,7078,17,-1,11,-8,,,
12-06-2023 17:29:30.601,7079,18,-1,13,-8,,,
12-06-2023 17:29:30.620,7080,18,-1,19,-9,,,
12-06-2023 17:29:30.644,7081,18,-1,21,-6,,,
12-06-2023 17:29:30.660,7082,18,-1,18,-5,,,
12-06-2023 17:29:30.683,7083,18,-1,20,-6,,,
12-06-2023 17:29:30.700,7084,18,-1,25,-6,,,
12-06-2023 17:29:30.722,7085,18,-1,28,-6,,,
12-06-2023 17:29:30.741,7086,18,-2,33,-7,,,
12-06-2023 17:29:30.763,7087,18,-2,36,-8,,,
12-06-2023 17:29:30.785,7088,18,-2,34,-9,,,
12-06-2023 17:29:30.802,7089,18,-2,33,-11,,,
12-06-2023 17:29:30.824,7090,18,-2,29,-9,,,
12-06-2023 17:29:30.843,7091,18,-2,27,-9,,,
12-06-2023 17:29:30.860,7092,18,-2,24,-9,,,
12-06-2023 17:29:30.881,7093,18,-2,15,-9,,,
12-06-2023 17:29:30.902,7094,18,-2,12,-9,,,
12-06-2023 17:29:30.922,7095,18,-2,10,-9,,,
12-06-2023 17:29:30.941,7096,16,-2,9,-9,,,
12-06-2023 17:29:30.960,7097,17,-1,9,-9,,,
12-06-2023 17:29:30.981,7098,19,0,10,-8,,,
12-06-2023 17:29:31.000,7099,24,3,11,-8,,,
12-06-2023 17:29:31.022,7100,26,1,11,-9,,,
12-06-2023 17:29:31.041,7101,26,1,12,-9,,,
12-06-2023 17:29:31.061,7102,22,5,13,-8,,,
12-06-2023 17:29:31.081,7103,22,7,13,-8,,,
12-06-2023 17:29:31.101,7104,21,8,14,-8,,,
12-06-2023 17:29:31.123,7105,15,8,14,-8,,,
