Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll
12-06-2023 17:24:29.832,13035,18,2,17,-3
12-06-2023 17:24:29.853,13036,18,2,17,-3
12-06-2023 17:24:29.877,13037,18,2,17,-3
12-06-2023 17:24:29.893,13038,18,2,17,-3
12-06-2023 17:24:29.913,13039,18,2,17,-3
12-06-2023 17:24:29.936,13040,18,3,17,-4
12-06-2023 17:24:29.952,13041,18,3,17,-3
12-06-2023 17:24:29.972,13042,18,3,17,-3
12-06-2023 17:24:29.994,13043,18,3,17,-3
12-06-2023 17:24:30.014,13044,18,2,17,-3
12-06-2023 17:24:30.034,13045,18,2,17,-3
12-06-2023 17:24:30.053,13046,18,2,17,-3
12-06-2023 17:24:30.074,13047,18,2,17,-4
12-06-2023 17:24:30.095,13048,18,2,17,-3
12-06-2023 17:24:30.113,13049,18,2,17,-3
12-06-2023 17:24:30.135,13050,18,2,17,-3
12-06-2023 17:24:30.154,13051,18,2,18,-4
12-06-2023 17:24:30.175,13052,18,3,19,-3
12-06-2023 17:24:30.196,13053,18,3,22,-1
12-06-2023 17:24:30.215,13054,18,3,25,-1
12-06-2023 17:24:30.233,13055,18,3,24,1
12-06-2023 17:24:30.254,13056,18,3,22,4
12-06-2023 17:24:30.275,13057,18,3,22,6
12-06-2023 17:24:30.292,13058,18,3,20,8
12-06-2023 17:24:30.311,13059,18,3,18,8
12-06-2023 17:24:30.331,13060,18,3,16,8
12-06-2023 17:24:30.353,13061,18,2,14,8
12-06-2023 17:24:30.375,13062,18,3,13,7
12-06-2023 17:24:30.395,13063,18,3,12,7
12-06-2023 17:24:30.416,13064,18,2,11,5
12-06-2023 17:24:30.437,13065,18,2,11,2
12-06-2023 17:24:30.452,13066,18,2,11,0
12-06-2023 17:24:30.476,13067,18,2,13,-1
12-06-2023 17:24:30.494,13068,19,2,9,-6
12-06-2023 17:24:30.513,13069,18,3,8,-9
12-06-2023 17:24:30.532,13070,18,2,16,-6
12-06-2023 17:24:30.555,13071,19,2,13,-11
