Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
12-06-2023 17:36:35.327,4070,16,-1,16,-2,,,,
12-06-2023 17:36:35.346,4071,16,-1,16,-2,,,,
12-06-2023 17:36:35.367,4072,16,-1,16,-2,,,START SKATEBOARD,
12-06-2023 17:36:35.385,4073,16,-1,16,-2,,,,
12-06-2023 17:36:35.408,4074,16,-1,16,-2,,,,
12-06-2023 17:36:35.425,4075,16,-1,16,-2,,,,
12-06-2023 17:36:35.447,4076,16,-1,16,-2,,,,
12-06-2023 17:36:35.465,4077,16,-1,16,-2,,,,
12-06-2023 17:36:35.488,4078,16,-1,16,-2,,,,
12-06-2023 17:36:35.506,4079,16,-1,15,-2,,,,
12-06-2023 17:36:35.525,4080,16,-1,15,-2,,,,
12-06-2023 17:36:35.545,4081,16,-1,16,-2,,,,
12-06-2023 17:36:35.566,4082,16,-1,16,-2,,,,
12-06-2023 17:36:35.585,4083,16,0,16,-2,,,,
12-06-2023 17:36:35.610,4084,16,0,16,-2,,,,
12-06-2023 17:36:35.628,4085,16,0,16,-2,,,,
12-06-2023 17:36:35.645,4086,16,0,16,-2,,,,
12-06-2023 17:36:35.666,4087,16,0,16,-2,,,,
12-06-2023 17:36:35.687,4088,16,0,16,-2,,,,
12-06-2023 17:36:35.709,4089,16,0,16,-2,,,,
12-06-2023 17:36:35.726,4090,16,0,16,-2,,,,
12-06-2023 17:36:35.745,4091,16,0,16,-2,,,,
12-06-2023 17:36:35.766,4092,16,0,16,-3,,,,
12-06-2023 17:36:35.785,4093,16,0,21,-1,,,,
12-06-2023 17:36:35.809,4094,17,0,23,-2,,,,
12-06-2023 17:36:35.826,4095,17,0,26,-1,,,,
12-06-2023 17:36:35.849,4096,17,0,32,-3,,,,
12-06-2023 17:36:35.869,4097,17,0,38,-4,,,,
12-06-2023 17:36:35.888,4098,17,0,41,-5,,,,
12-06-2023 17:36:35.907,4099,17,0,47,-6,,,,
12-06-2023 17:36:35.927,4100,17,0,55,-7,,,,
12-06-2023 17:36:35.946,4101,17,0,59,-6,,,,
12-06-2023 17:36:35.966,4102,17,0,70,-4,,,,
12-06-2023 17:36:35.988,4103,17,0,78,0,,,,
12-06-2023 17:36:36.006,4104,17,0,81,1,,,,
12-06-2023 17:36:36.024,4105,17,0,85,4,,,,
12-06-2023 17:36:36.049,4106,17,-1,80,2,,,,
12-06-2023 17:36:36.068,4107,17,-1,81,2,,,,
12-06-2023 17:36:36.087,4108,16,-1,103,178,,,,
12-06-2023 17:36:36.103,4109,16,-1,93,-179,,,,
12-06-2023 17:36:36.125,4110,16,-1,92,180,,,,
12-06-2023 17:36:36.149,4111,16,-1,87,2,,,,
12-06-2023 17:36:36.168,4112,16,-1,82,4,,,,
12-06-2023 17:36:36.184,4113,16,-2,79,4,,,,
12-06-2023 17:36:36.208,4114,16,-2,72,5,,,,
12-06-2023 17:36:36.227,4115,16,-2,63,8,,,,
12-06-2023 17:36:36.246,4116,16,-2,58,10,,,,
12-06-2023 17:36:36.266,4117,16,-3,49,14,,,,
12-06-2023 17:36:36.287,4118,16,-3,40,15,,,,
12-06-2023 17:36:36.308,4119,16,-3,37,14,,,,
12-06-2023 17:36:36.327,4120,16,-3,33,10,,,,
12-06-2023 17:36:36.346,4121,16,-2,32,8,,,,
12-06-2023 17:36:36.365,4122,16,-2,32,8,,,,
12-06-2023 17:36:36.387,4123,16,-2,34,6,,,,
12-06-2023 17:36:36.408,4124,16,-2,36,4,,,,
12-06-2023 17:36:36.425,4125,16,-2,38,3,,,,
12-06-2023 17:36:36.449,4126,16,-2,41,2,,,,
12-06-2023 17:36:36.467,4127,16,-2,38,2,,,,
12-06-2023 17:36:36.484,4128,16,-3,38,1,,,,
12-06-2023 17:36:36.506,4129,15,-3,48,4,,,,
