Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,Unnamed: 6,Unnamed: 7,Unnamed: 8
12-06-2023 17:27:59.923,2545,17,2,16,-3,,,
12-06-2023 17:27:59.942,2546,17,2,16,-3,,,
12-06-2023 17:27:59.962,2547,17,2,16,-3,,,START SMALL STEPS
12-06-2023 17:27:59.981,2548,17,2,16,-3,,,
12-06-2023 17:28:00.002,2549,17,2,16,-3,,,
12-06-2023 17:28:00.020,2550,17,2,16,-3,,,
12-06-2023 17:28:00.041,2551,17,2,16,-3,,,
12-06-2023 17:28:00.063,2552,17,2,16,-3,,,
12-06-2023 17:28:00.080,2553,17,2,16,-3,,,
12-06-2023 17:28:00.100,2554,17,2,16,-3,,,
12-06-2023 17:28:00.121,2555,17,2,16,-3,,,
12-06-2023 17:28:00.140,2556,17,2,16,-3,,,
12-06-2023 17:28:00.164,2557,17,2,16,-3,,,
12-06-2023 17:28:00.180,2558,17,2,16,-3,,,
12-06-2023 17:28:00.200,2559,17,2,16,-3,,,
12-06-2023 17:28:00.222,2560,17,2,16,-3,,,
12-06-2023 17:28:00.242,2561,18,2,16,-4,,,
12-06-2023 17:28:00.260,2562,18,3,16,-4,,,
12-06-2023 17:28:00.283,2563,18,3,15,-3,,,
12-06-2023 17:28:00.301,2564,18,2,15,-3,,,
12-06-2023 17:28:00.321,2565,18,2,17,-4,,,
12-06-2023 17:28:00.346,2566,18,2,17,-5,,,
12-06-2023 17:28:00.362,2567,18,2,16,-7,,,
12-06-2023 17:28:00.385,2568,17,2,12,-9,,,
12-06-2023 17:28:00.400,2569,18,2,10,-9,,,
12-06-2023 17:28:00.423,2570,18,2,4,-11,,,
12-06-2023 17:28:00.441,2571,18,2,3,-14,,,
12-06-2023 17:28:00.465,2572,17,2,7,-17,,,
12-06-2023 17:28:00.482,2573,17,2,10,-19,,,
12-06-2023 17:28:00.502,2574,17,2,13,-12,,,
12-06-2023 17:28:00.520,2575,17,2,15,-13,,,
12-06-2023 17:28:00.540,2576,17,1,19,-13,,,
12-06-2023 17:28:00.561,2577,18,1,22,-12,,,
12-06-2023 17:28:00.581,2578,17,1,24,-12,,,
12-06-2023 17:28:00.601,2579,18,1,27,-11,,,
12-06-2023 17:28:00.620,2580,18,1,27,-12,,,
12-06-2023 17:28:00.643,2581,18,1,26,-12,,,
12-06-2023 17:28:00.661,2582,17,1,23,-11,,,
12-06-2023 17:28:00.684,2583,17,1,19,-10,,,
12-06-2023 17:28:00.702,2584,17,1,15,-10,,,
12-06-2023 17:28:00.723,2585,17,1,10,-11,,,
12-06-2023 17:28:00.740,2586,16,1,11,-10,,,
12-06-2023 17:28:00.765,2587,19,0,11,-10,,,
12-06-2023 17:28:00.782,2588,19,1,11,-9,,,
12-06-2023 17:28:00.800,2589,16,3,11,-9,,,
12-06-2023 17:28:00.820,2590,14,3,12,-9,,,
12-06-2023 17:28:00.839,2591,8,4,12,-9,,,
12-06-2023 17:28:00.863,2592,7,7,13,-9,,,
12-06-2023 17:28:00.885,2593,11,8,13,-9,,,
12-06-2023 17:28:00.904,2594,13,7,13,-9,,,
12-06-2023 17:28:00.920,2595,19,4,14,-9,,,
12-06-2023 17:28:00.940,2596,21,4,14,-9,,,
12-06-2023 17:28:00.961,2597,26,4,14,-8,,,
12-06-2023 17:28:00.981,2598,32,5,15,-8,,,
12-06-2023 17:28:01.000,2599,35,5,15,-8,,,
12-06-2023 17:28:01.021,2600,37,6,15,-8,,,
12-06-2023 17:28:01.040,2601,37,6,16,-8,,,
12-06-2023 17:28:01.062,2602,37,7,16,-8,,,
12-06-2023 17:28:01.081,2603,33,6,16,-7,,,
12-06-2023 17:28:01.102,2604,30,4,16,-7,,,
12-06-2023 17:28:01.120,2605,28,3,16,-7,,,
12-06-2023 17:28:01.141,2606,23,3,16,-7,,,
12-06-2023 17:28:01.163,2607,19,4,17,-7,,,
12-06-2023 17:28:01.183,2608,16,4,17,-8,,,
12-06-2023 17:28:01.200,2609,15,3,16,-8,,,
12-06-2023 17:28:01.220,2610,15,2,17,-8,,,
12-06-2023 17:28:01.240,2611,15,2,17,-8,,,
12-06-2023 17:28:01.261,2612,16,3,16,-8,,,
12-06-2023 17:28:01.281,2613,17,4,17,-8,,,
12-06-2023 17:28:01.302,2614,17,4,17,-8,,,
12-06-2023 17:28:01.323,2615,17,3,20,-9,,,
12-06-2023 17:28:01.342,2616,17,3,28,-7,,,
12-06-2023 17:28:01.366,2617,17,3,31,-11,,,
12-06-2023 17:28:01.381,2618,17,3,26,-11,,,
12-06-2023 17:28:01.401,2619,17,3,21,-12,,,
12-06-2023 17:28:01.420,2620,17,3,23,-11,,,
12-06-2023 17:28:01.443,2621,17,3,16,-9,,,
12-06-2023 17:28:01.461,2622,18,3,11,-9,,,
12-06-2023 17:28:01.481,2623,18,3,10,-11,,,
12-06-2023 17:28:01.504,2624,18,3,10,-15,,,
12-06-2023 17:28:01.522,2625,18,3,15,-17,,,
12-06-2023 17:28:01.543,2626,18,3,17,-17,,,
12-06-2023 17:28:01.560,2627,18,3,23,-18,,,
12-06-2023 17:28:01.583,2628,18,3,28,-14,,,
12-06-2023 17:28:01.600,2629,18,3,27,-13,,,
12-06-2023 17:28:01.622,2630,18,2,30,-13,,,
12-06-2023 17:28:01.641,2631,18,2,33,-13,,,
12-06-2023 17:28:01.660,2632,18,2,35,-12,,,
12-06-2023 17:28:01.681,2633,18,2,34,-14,,,
12-06-2023 17:28:01.702,2634,18,2,30,-14,,,
12-06-2023 17:28:01.722,2635,18,2,28,-13,,,
12-06-2023 17:28:01.741,2636,18,2,22,-13,,,
12-06-2023 17:28:01.764,2637,18,2,16,-13,,,
12-06-2023 17:28:01.780,2638,18,2,13,-13,,,
12-06-2023 17:28:01.800,2639,18,2,14,-13,,,
12-06-2023 17:28:01.820,2640,16,3,13,-12,,,
12-06-2023 17:28:01.841,2641,17,3,13,-12,,,
12-06-2023 17:28:01.862,2642,18,3,14,-12,,,
12-06-2023 17:28:01.886,2643,21,4,15,-12,,,
12-06-2023 17:28:01.905,2644,25,4,15,-12,,,
12-06-2023 17:28:01.923,2645,22,3,16,-11,,,
12-06-2023 17:28:01.942,2646,17,2,16,-11,,,
12-06-2023 17:28:01.961,2647,17,3,16,-11,,,
12-06-2023 17:28:01.982,2648,12,5,17,-10,,,
12-06-2023 17:28:02.001,2649,9,8,17,-10,,,
12-06-2023 17:28:02.022,2650,8,10,17,-10,,,
12-06-2023 17:28:02.040,2651,9,13,17,-10,,,
12-06-2023 17:28:02.063,2652,15,14,18,-10,,,
12-06-2023 17:28:02.082,2653,17,12,18,-9,,,
12-06-2023 17:28:02.104,2654,19,9,18,-9,,,
12-06-2023 17:28:02.120,2655,24,8,18,-9,,,
12-06-2023 17:28:02.143,2656,26,8,18,-9,,,
12-06-2023 17:28:02.160,2657,31,8,18,-9,,,
12-06-2023 17:28:02.183,2658,33,9,18,-9,,,
12-06-2023 17:28:02.203,2659,32,8,19,-9,,,
12-06-2023 17:28:02.220,2660,29,8,19,-9,,,
12-06-2023 17:28:02.240,2661,25,7,19,-8,,,
12-06-2023 17:28:02.263,2662,23,7,19,-8,,,
12-06-2023 17:28:02.282,2663,18,7,19,-8,,,
12-06-2023 17:28:02.303,2664,13,6,18,-8,,,
12-06-2023 17:28:02.320,2665,12,5,18,-8,,,
12-06-2023 17:28:02.343,2666,14,5,19,-9,,,
12-06-2023 17:28:02.363,2667,14,5,20,-9,,,
12-06-2023 17:28:02.383,2668,15,5,21,-8,,,
12-06-2023 17:28:02.402,2669,15,5,27,-8,,,
12-06-2023 17:28:02.421,2670,15,5,37,-9,,,
12-06-2023 17:28:02.442,2671,15,5,38,-9,,,
12-06-2023 17:28:02.462,2672,16,5,34,-9,,,
12-06-2023 17:28:02.481,2673,16,4,29,-12,,,
12-06-2023 17:28:02.502,2674,16,4,29,-13,,,
12-06-2023 17:28:02.521,2675,16,4,24,-10,,,
12-06-2023 17:28:02.540,2676,17,4,20,-5,,,
12-06-2023 17:28:02.564,2677,17,4,19,-3,,,
12-06-2023 17:28:02.582,2678,17,4,19,-5,,,
12-06-2023 17:28:02.599,2679,17,4,21,-8,,,
12-06-2023 17:28:02.620,2680,17,4,23,-9,,,
12-06-2023 17:28:02.642,2681,17,4,28,-10,,,
12-06-2023 17:28:02.664,2682,18,4,33,-12,,,
12-06-2023 17:28:02.680,2683,17,4,39,-12,,,
12-06-2023 17:28:02.702,2684,18,3,36,-5,,,
12-06-2023 17:28:02.720,2685,18,3,36,-6,,,
12-06-2023 17:28:02.741,2686,18,3,37,-4,,,
12-06-2023 17:28:02.763,2687,18,3,33,-7,,,
12-06-2023 17:28:02.779,2688,18,3,30,-7,,,
12-06-2023 17:28:02.801,2689,18,3,28,-7,,,
12-06-2023 17:28:02.823,2690,18,3,23,-6,,,
12-06-2023 17:28:02.840,2691,18,3,15,-7,,,
12-06-2023 17:28:02.861,2692,18,3,16,-7,,,
12-06-2023 17:28:02.882,2693,16,3,16,-7,,,
12-06-2023 17:28:02.903,2694,18,4,16,-7,,,
12-06-2023 17:28:02.921,2695,20,3,17,-7,,,
12-06-2023 17:28:02.942,2696,26,3,17,-7,,,
12-06-2023 17:28:02.963,2697,29,4,17,-7,,,
12-06-2023 17:28:02.984,2698,27,4,17,-7,,,
12-06-2023 17:28:03.002,2699,17,2,18,-7,,,
12-06-2023 17:28:03.024,2700,16,2,18,-7,,,
12-06-2023 17:28:03.044,2701,15,2,18,-7,,,
12-06-2023 17:28:03.062,2702,12,6,18,-7,,,
12-06-2023 17:28:03.080,2703,16,9,18,-8,,,
12-06-2023 17:28:03.103,2704,18,9,18,-8,,,
12-06-2023 17:28:03.121,2705,28,10,19,-7,,,
