Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
12-06-2023 17:55:00.324,1907,19,2,16,-1,,,,START WALK
12-06-2023 17:55:00.345,1908,19,2,16,-1,,,,
12-06-2023 17:55:00.366,1909,18,2,16,-1,,,,
12-06-2023 17:55:00.384,1910,18,2,16,-1,,,,
12-06-2023 17:55:00.404,1911,18,2,16,-1,,,,
12-06-2023 17:55:00.424,1912,18,2,16,-1,,,,
12-06-2023 17:55:00.445,1913,18,2,16,-1,,,,
12-06-2023 17:55:00.463,1914,18,2,16,-1,,,,
12-06-2023 17:55:00.480,1915,18,2,16,-1,,,,
12-06-2023 17:55:00.500,1916,18,2,16,-1,,,,
12-06-2023 17:55:00.520,1917,18,2,16,-1,,,,
12-06-2023 17:55:00.539,1918,18,3,17,-1,,,,
12-06-2023 17:55:00.563,1919,16,2,16,-1,,,,
12-06-2023 17:55:00.581,1920,16,2,16,-1,,,,
12-06-2023 17:55:00.604,1921,17,3,16,-1,,,,
12-06-2023 17:55:00.621,1922,21,3,16,-1,,,,
12-06-2023 17:55:00.640,1923,23,3,16,-1,,,,
12-06-2023 17:55:00.665,1924,30,5,16,-1,,,,
12-06-2023 17:55:00.680,1925,36,3,16,-1,,,,
12-06-2023 17:55:00.703,1926,38,3,16,-1,,,,
12-06-2023 17:55:00.722,1927,39,3,16,-1,,,,
12-06-2023 17:55:00.740,1928,37,3,16,-1,,,,
12-06-2023 17:55:00.763,1929,33,2,17,-2,,,,
12-06-2023 17:55:00.779,1930,31,1,17,-2,,,,
12-06-2023 17:55:00.804,1931,29,3,15,-2,,,,
12-06-2023 17:55:00.820,1932,27,3,16,-3,,,,
12-06-2023 17:55:00.840,1933,23,3,17,-3,,,,
12-06-2023 17:55:00.863,1934,20,5,20,-2,,,,
12-06-2023 17:55:00.881,1935,19,5,23,-2,,,,
12-06-2023 17:55:00.903,1936,17,6,23,-5,,,,
12-06-2023 17:55:00.921,1937,17,6,14,-6,,,,
12-06-2023 17:55:00.944,1938,18,6,8,-7,,,,
12-06-2023 17:55:00.960,1939,18,6,7,-9,,,,
12-06-2023 17:55:00.982,1940,18,6,11,-9,,,,
12-06-2023 17:55:01.002,1941,19,6,13,-9,,,,
12-06-2023 17:55:01.020,1942,19,6,16,-5,,,,
12-06-2023 17:55:01.041,1943,20,4,23,-5,,,,
12-06-2023 17:55:01.062,1944,19,6,25,-4,,,,
12-06-2023 17:55:01.082,1945,21,5,29,-4,,,,
12-06-2023 17:55:01.099,1946,27,6,29,-4,,,,
12-06-2023 17:55:01.132,1947,35,6,23,-4,,,,
12-06-2023 17:55:01.143,1948,38,6,22,-4,,,,
12-06-2023 17:55:01.164,1949,40,10,17,-4,,,,
12-06-2023 17:55:01.183,1950,38,10,18,-4,,,,
12-06-2023 17:55:01.202,1951,31,10,17,-3,,,,
12-06-2023 17:55:01.220,1952,22,7,16,-3,,,,
12-06-2023 17:55:01.241,1953,22,7,14,-4,,,,
12-06-2023 17:55:01.263,1954,23,10,11,-5,,,,
12-06-2023 17:55:01.281,1955,26,14,8,-6,,,,
12-06-2023 17:55:01.302,1956,31,14,6,-7,,,,
12-06-2023 17:55:01.320,1957,31,7,5,-7,,,,
12-06-2023 17:55:01.344,1958,31,5,4,-7,,,,
12-06-2023 17:55:01.362,1959,29,9,6,-7,,,,
12-06-2023 17:55:01.380,1960,29,7,5,-6,,,,
12-06-2023 17:55:01.404,1961,27,7,9,-6,,,,
12-06-2023 17:55:01.421,1962,26,7,14,-6,,,,
12-06-2023 17:55:01.443,1963,23,8,22,-4,,,,
12-06-2023 17:55:01.466,1964,22,8,33,-8,,,,
12-06-2023 17:55:01.481,1965,22,7,33,-8,,,,
12-06-2023 17:55:01.502,1966,22,7,21,-8,,,,
12-06-2023 17:55:01.521,1967,21,7,15,-11,,,,
12-06-2023 17:55:01.546,1968,19,9,10,-13,,,,
12-06-2023 17:55:01.564,1969,19,9,8,-14,,,,
12-06-2023 17:55:01.580,1970,16,9,8,-17,,,,
12-06-2023 17:55:01.603,1971,16,7,11,-16,,,,
12-06-2023 17:55:01.625,1972,16,5,12,-16,,,,
12-06-2023 17:55:01.640,1973,15,3,14,-17,,,,
12-06-2023 17:55:01.660,1974,16,2,17,-11,,,,
12-06-2023 17:55:01.681,1975,15,3,19,-9,,,,
12-06-2023 17:55:01.705,1976,16,3,23,-11,,,,
12-06-2023 17:55:01.721,1977,16,4,23,-8,,,,
12-06-2023 17:55:01.742,1978,17,4,25,-9,,,,
12-06-2023 17:55:01.766,1979,17,2,21,-10,,,,
12-06-2023 17:55:01.781,1980,16,0,19,-11,,,,
12-06-2023 17:55:01.800,1981,18,6,17,-10,,,,
12-06-2023 17:55:01.822,1982,22,5,15,-8,,,,
12-06-2023 17:55:01.839,1983,22,8,14,-9,,,,
12-06-2023 17:55:01.863,1984,19,11,11,-9,,,,
12-06-2023 17:55:01.882,1985,19,10,9,-9,,,,
12-06-2023 17:55:01.898,1986,22,9,8,-9,,,,
12-06-2023 17:55:01.919,1987,24,8,8,-9,,,,
12-06-2023 17:55:01.941,1988,32,6,6,-9,,,,
12-06-2023 17:55:01.961,1989,38,3,5,-9,,,,
12-06-2023 17:55:01.981,1990,40,3,4,-9,,,,
12-06-2023 17:55:02.003,1991,37,3,5,-9,,,,
12-06-2023 17:55:02.024,1992,34,-2,7,-7,,,,
12-06-2023 17:55:02.041,1993,32,1,11,-7,,,,
12-06-2023 17:55:02.066,1994,33,2,25,-7,,,,
12-06-2023 17:55:02.082,1995,33,2,28,-6,,,,
12-06-2023 17:55:02.100,1996,33,1,38,-11,,,,
12-06-2023 17:55:02.122,1997,30,0,32,-10,,,,
12-06-2023 17:55:02.139,1998,29,1,26,-12,,,,
12-06-2023 17:55:02.163,1999,24,3,18,-16,,,,
12-06-2023 17:55:02.181,2000,21,5,15,-17,,,,
12-06-2023 17:55:02.202,2001,17,7,12,-14,,,,
12-06-2023 17:55:02.220,2002,15,8,14,-13,,,,
12-06-2023 17:55:02.241,2003,15,8,19,-13,,,,
12-06-2023 17:55:02.263,2004,16,7,22,-3,,,,
12-06-2023 17:55:02.280,2005,16,7,18,-2,,,,
12-06-2023 17:55:02.302,2006,17,7,20,-11,,,,
12-06-2023 17:55:02.319,2007,14,8,19,-6,,,,
12-06-2023 17:55:02.341,2008,20,7,22,-8,,,,
12-06-2023 17:55:02.359,2009,30,5,23,-7,,,,
12-06-2023 17:55:02.384,2010,34,4,20,-7,,,,
12-06-2023 17:55:02.403,2011,39,4,19,-6,,,,
12-06-2023 17:55:02.424,2012,38,11,16,-6,,,,
12-06-2023 17:55:02.439,2013,34,13,14,-6,,,,
12-06-2023 17:55:02.460,2014,26,14,11,-7,,,,
12-06-2023 17:55:02.481,2015,18,18,8,-8,,,,
12-06-2023 17:55:02.503,2016,14,20,7,-8,,,,
12-06-2023 17:55:02.520,2017,13,19,6,-8,,,,
