Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,Unnamed: 6,Unnamed: 7,Unnamed: 8
09-06-2023 11:01:20.034,2924,17,4,16,-3,,,
09-06-2023 11:01:20.053,2925,17,4,16,-3,,,
09-06-2023 11:01:20.072,2926,17,4,16,-3,,,
09-06-2023 11:01:20.092,2927,17,4,16,-3,,,
09-06-2023 11:01:20.113,2928,17,4,16,-3,,,
09-06-2023 11:01:20.132,2929,17,4,16,-3,,,
09-06-2023 11:01:20.154,2930,17,4,16,-3,,,
09-06-2023 11:01:20.171,2931,17,4,16,-3,,,
09-06-2023 11:01:20.191,2932,17,4,16,-3,,,
09-06-2023 11:01:20.211,2933,17,4,16,-3,,,
09-06-2023 11:01:20.233,2934,17,4,16,-3,,,
09-06-2023 11:01:20.252,2935,17,4,16,-3,,,
09-06-2023 11:01:20.272,2936,17,4,16,-3,,,
09-06-2023 11:01:20.291,2937,17,4,16,-3,,,
09-06-2023 11:01:20.313,2938,17,4,16,-3,,,
09-06-2023 11:01:20.333,2939,17,4,16,-3,,,
09-06-2023 11:01:20.356,2940,17,4,16,-3,,,
09-06-2023 11:01:20.370,2941,17,4,16,-3,,,
09-06-2023 11:01:20.395,2942,17,4,16,-3,,,
09-06-2023 11:01:20.416,2943,17,4,16,-3,,,
09-06-2023 11:01:20.439,2944,16,4,16,-3,,,START STAND1
09-06-2023 11:01:20.456,2945,16,4,16,-3,,,
09-06-2023 11:01:20.472,2946,17,4,16,-3,,,
09-06-2023 11:01:20.491,2947,16,4,16,-3,,,
09-06-2023 11:01:20.515,2948,17,4,16,-3,,,
09-06-2023 11:01:20.532,2949,16,4,16,-3,,,
09-06-2023 11:01:20.551,2950,16,4,16,-3,,,
09-06-2023 11:01:20.573,2951,16,4,16,-3,,,
09-06-2023 11:01:20.592,2952,17,4,16,-3,,,
09-06-2023 11:01:20.611,2953,17,4,16,-3,,,
09-06-2023 11:01:20.632,2954,17,4,16,-3,,,
09-06-2023 11:01:20.652,2955,17,4,16,-3,,,
09-06-2023 11:01:20.671,2956,17,4,16,-3,,,
09-06-2023 11:01:20.692,2957,17,4,16,-3,,,
09-06-2023 11:01:20.711,2958,16,4,16,-3,,,
09-06-2023 11:01:20.732,2959,16,4,16,-3,,,
09-06-2023 11:01:20.751,2960,16,4,16,-3,,,
09-06-2023 11:01:20.773,2961,16,4,16,-3,,,
09-06-2023 11:01:20.792,2962,16,4,16,-3,,,
09-06-2023 11:01:20.811,2963,17,4,16,-3,,,
09-06-2023 11:01:20.833,2964,17,4,16,-3,,,
09-06-2023 11:01:20.853,2965,17,4,16,-3,,,
09-06-2023 11:01:20.870,2966,17,4,16,-3,,,
09-06-2023 11:01:20.891,2967,17,4,16,-3,,,
09-06-2023 11:01:20.913,2968,17,4,16,-3,,,
09-06-2023 11:01:20.932,2969,17,4,16,-3,,,
09-06-2023 11:01:20.952,2970,17,4,16,-3,,,
09-06-2023 11:01:20.973,2971,17,4,16,-3,,,
09-06-2023 11:01:20.993,2972,17,4,16,-3,,,
09-06-2023 11:01:21.010,2973,17,4,16,-3,,,
09-06-2023 11:01:21.033,2974,17,4,16,-3,,,
09-06-2023 11:01:21.050,2975,17,4,16,-3,,,
09-06-2023 11:01:21.073,2976,17,4,16,-3,,,
09-06-2023 11:01:21.094,2977,17,4,16,-3,,,
09-06-2023 11:01:21.110,2978,17,4,16,-3,,,
09-06-2023 11:01:21.131,2979,17,4,16,-3,,,
09-06-2023 11:01:21.154,2980,17,4,16,-3,,,
09-06-2023 11:01:21.170,2981,17,4,16,-3,,,
09-06-2023 11:01:21.190,2982,17,4,16,-3,,,
09-06-2023 11:01:21.211,2983,17,4,16,-3,,,
09-06-2023 11:01:21.231,2984,17,4,16,-3,,,
09-06-2023 11:01:21.250,2985,17,4,16,-3,,,
09-06-2023 11:01:21.270,2986,16,4,16,-3,,,
09-06-2023 11:01:21.292,2987,17,4,16,-3,,,
09-06-2023 11:01:21.311,2988,17,4,16,-3,,,
09-06-2023 11:01:21.330,2989,17,4,16,-3,,,
09-06-2023 11:01:21.355,2990,17,4,16,-3,,,
09-06-2023 11:01:21.370,2991,17,4,16,-3,,,
09-06-2023 11:01:21.390,2992,17,4,16,-3,,,
09-06-2023 11:01:21.414,2993,17,4,16,-3,,,
09-06-2023 11:01:21.431,2994,17,4,16,-3,,,
09-06-2023 11:01:21.454,2995,17,4,16,-3,,,
09-06-2023 11:01:21.474,2996,16,4,16,-3,,,
09-06-2023 11:01:21.495,2997,17,4,16,-3,,,
09-06-2023 11:01:21.514,2998,17,4,16,-3,,,
09-06-2023 11:01:21.533,2999,17,4,16,-3,,,
09-06-2023 11:01:21.553,3000,17,4,16,-3,,,
09-06-2023 11:01:21.570,3001,17,4,16,-3,,,
09-06-2023 11:01:21.592,3002,17,4,16,-3,,,
09-06-2023 11:01:21.610,3003,17,4,16,-3,,,
09-06-2023 11:01:21.632,3004,17,4,16,-3,,,
09-06-2023 11:01:21.652,3005,17,4,16,-3,,,
09-06-2023 11:01:21.671,3006,17,4,16,-3,,,
09-06-2023 11:01:21.692,3007,17,4,16,-3,,,
09-06-2023 11:01:21.711,3008,17,4,16,-3,,,
09-06-2023 11:01:21.733,3009,17,4,16,-3,,,
09-06-2023 11:01:21.753,3010,17,4,16,-3,,,
09-06-2023 11:01:21.773,3011,17,4,16,-3,,,
09-06-2023 11:01:21.792,3012,16,4,16,-3,,,
09-06-2023 11:01:21.812,3013,16,4,16,-3,,,
09-06-2023 11:01:21.832,3014,16,4,16,-3,,,
09-06-2023 11:01:21.852,3015,16,4,16,-3,,,
09-06-2023 11:01:21.873,3016,16,4,16,-3,,,
09-06-2023 11:01:21.893,3017,16,4,16,-3,,,
09-06-2023 11:01:21.911,3018,16,4,16,-3,,,
09-06-2023 11:01:21.932,3019,16,4,16,-3,,,
09-06-2023 11:01:21.955,3020,16,4,16,-3,,,
09-06-2023 11:01:21.973,3021,16,4,16,-3,,,
09-06-2023 11:01:21.993,3022,16,4,16,-3,,,
09-06-2023 11:01:22.014,3023,16,4,16,-3,,,
09-06-2023 11:01:22.031,3024,16,4,16,-3,,,
09-06-2023 11:01:22.054,3025,16,4,16,-3,,,
09-06-2023 11:01:22.074,3026,16,4,16,-3,,,
09-06-2023 11:01:22.094,3027,16,4,16,-3,,,
09-06-2023 11:01:22.114,3028,17,4,16,-3,,,
09-06-2023 11:01:22.133,3029,17,4,16,-3,,,
09-06-2023 11:01:22.153,3030,16,4,16,-3,,,
09-06-2023 11:01:22.171,3031,16,4,16,-3,,,
09-06-2023 11:01:22.191,3032,16,4,16,-3,,,
09-06-2023 11:01:22.212,3033,16,4,16,-3,,,
09-06-2023 11:01:22.232,3034,16,4,16,-3,,,
09-06-2023 11:01:22.253,3035,17,4,16,-3,,,
09-06-2023 11:01:22.272,3036,17,4,16,-3,,,
09-06-2023 11:01:22.293,3037,17,4,16,-3,,,
09-06-2023 11:01:22.313,3038,16,4,16,-3,,,
09-06-2023 11:01:22.331,3039,17,4,16,-3,,,
09-06-2023 11:01:22.353,3040,17,4,16,-3,,,
09-06-2023 11:01:22.372,3041,17,4,16,-3,,,
09-06-2023 11:01:22.394,3042,16,4,16,-3,,,
09-06-2023 11:01:22.414,3043,16,4,16,-3,,,
09-06-2023 11:01:22.436,3044,16,4,16,-3,,,
09-06-2023 11:01:22.450,3045,17,4,16,-3,,,
09-06-2023 11:01:22.472,3046,17,4,16,-3,,,
09-06-2023 11:01:22.490,3047,17,4,16,-3,,,
09-06-2023 11:01:22.511,3048,16,4,16,-3,,,
09-06-2023 11:01:22.531,3049,16,4,16,-3,,,
09-06-2023 11:01:22.551,3050,16,4,16,-3,,,
09-06-2023 11:01:22.575,3051,16,4,16,-3,,,
09-06-2023 11:01:22.592,3052,16,4,16,-3,,,
09-06-2023 11:01:22.610,3053,17,4,16,-3,,,
09-06-2023 11:01:22.632,3054,16,4,16,-3,,,
09-06-2023 11:01:22.652,3055,17,4,16,-3,,,
09-06-2023 11:01:22.671,3056,16,4,16,-3,,,
09-06-2023 11:01:22.690,3057,16,4,16,-3,,,
09-06-2023 11:01:22.710,3058,16,4,16,-3,,,
09-06-2023 11:01:22.730,3059,16,4,16,-3,,,
09-06-2023 11:01:22.753,3060,16,4,16,-3,,,
09-06-2023 11:01:22.772,3061,17,4,16,-3,,,
09-06-2023 11:01:22.793,3062,16,4,16,-3,,,
09-06-2023 11:01:22.810,3063,16,4,16,-3,,,
09-06-2023 11:01:22.832,3064,16,4,16,-3,,,
09-06-2023 11:01:22.853,3065,16,4,16,-3,,,
09-06-2023 11:01:22.870,3066,16,4,16,-3,,,
09-06-2023 11:01:22.890,3067,16,4,16,-3,,,
09-06-2023 11:01:22.911,3068,16,4,16,-3,,,
09-06-2023 11:01:22.930,3069,16,4,16,-3,,,
09-06-2023 11:01:22.952,3070,17,4,16,-3,,,
09-06-2023 11:01:22.970,3071,16,4,16,-3,,,
09-06-2023 11:01:22.990,3072,16,4,16,-3,,,
09-06-2023 11:01:23.014,3073,16,4,16,-3,,,
09-06-2023 11:01:23.032,3074,17,4,16,-3,,,
09-06-2023 11:01:23.053,3075,17,4,16,-3,,,
09-06-2023 11:01:23.070,3076,16,4,16,-3,,,
09-06-2023 11:01:23.093,3077,16,4,16,-3,,,
09-06-2023 11:01:23.112,3078,16,4,16,-3,,,
09-06-2023 11:01:23.131,3079,16,4,16,-3,,,
09-06-2023 11:01:23.151,3080,16,4,16,-3,,,
09-06-2023 11:01:23.170,3081,16,4,16,-3,,,
09-06-2023 11:01:23.193,3082,16,4,16,-3,,,
09-06-2023 11:01:23.210,3083,16,4,16,-3,,,
09-06-2023 11:01:23.230,3084,16,4,16,-3,,,
09-06-2023 11:01:23.250,3085,16,4,16,-3,,,
09-06-2023 11:01:23.270,3086,16,4,16,-3,,,
09-06-2023 11:01:23.291,3087,16,4,16,-3,,,
09-06-2023 11:01:23.313,3088,17,4,16,-3,,,
09-06-2023 11:01:23.331,3089,17,4,16,-3,,,
09-06-2023 11:01:23.351,3090,17,4,16,-3,,,
09-06-2023 11:01:23.371,3091,16,4,16,-3,,,
09-06-2023 11:01:23.391,3092,17,4,16,-3,,,
09-06-2023 11:01:23.413,3093,17,4,16,-3,,,
09-06-2023 11:01:23.431,3094,17,4,16,-3,,,
09-06-2023 11:01:23.452,3095,17,4,16,-3,,,
09-06-2023 11:01:23.475,3096,17,4,16,-3,,,
09-06-2023 11:01:23.491,3097,17,4,16,-3,,,
09-06-2023 11:01:23.513,3098,17,4,16,-3,,,
09-06-2023 11:01:23.533,3099,17,4,16,-3,,,
09-06-2023 11:01:23.550,3100,17,4,16,-3,,,
09-06-2023 11:01:23.573,3101,17,4,16,-3,,,
09-06-2023 11:01:23.597,3102,16,4,16,-3,,,
09-06-2023 11:01:23.613,3103,16,4,16,-3,,,
09-06-2023 11:01:23.631,3104,17,4,16,-3,,,
09-06-2023 11:01:23.651,3105,17,4,16,-3,,,
09-06-2023 11:01:23.672,3106,17,4,16,-3,,,
09-06-2023 11:01:23.692,3107,17,4,16,-3,,,
09-06-2023 11:01:23.710,3108,17,4,16,-3,,,
09-06-2023 11:01:23.733,3109,17,4,16,-3,,,
09-06-2023 11:01:23.752,3110,17,4,16,-3,,,
09-06-2023 11:01:23.772,3111,17,4,16,-3,,,
09-06-2023 11:01:23.794,3112,17,4,16,-3,,,
09-06-2023 11:01:23.813,3113,17,4,16,-3,,,
09-06-2023 11:01:23.831,3114,17,4,16,-3,,,
09-06-2023 11:01:23.852,3115,17,4,16,-3,,,
09-06-2023 11:01:23.873,3116,16,4,16,-3,,,
09-06-2023 11:01:23.891,3117,16,4,16,-3,,,
09-06-2023 11:01:23.913,3118,16,4,16,-3,,,
09-06-2023 11:01:23.932,3119,16,4,16,-3,,,
09-06-2023 11:01:23.955,3120,16,4,16,-3,,,
09-06-2023 11:01:23.973,3121,16,4,16,-3,,,
09-06-2023 11:01:23.992,3122,16,4,16,-3,,,
09-06-2023 11:01:24.011,3123,16,4,16,-3,,,
09-06-2023 11:01:24.035,3124,16,4,16,-3,,,
09-06-2023 11:01:24.051,3125,16,4,16,-3,,,
09-06-2023 11:01:24.072,3126,16,4,16,-3,,,
09-06-2023 11:01:24.092,3127,16,4,16,-3,,,
09-06-2023 11:01:24.111,3128,16,4,16,-3,,,
09-06-2023 11:01:24.132,3129,16,4,16,-3,,,
09-06-2023 11:01:24.152,3130,16,4,16,-3,,,
09-06-2023 11:01:24.171,3131,16,4,16,-3,,,
09-06-2023 11:01:24.191,3132,16,4,16,-3,,,
09-06-2023 11:01:24.212,3133,16,4,16,-3,,,
09-06-2023 11:01:24.232,3134,16,4,16,-3,,,
09-06-2023 11:01:24.252,3135,16,4,16,-3,,,
09-06-2023 11:01:24.270,3136,16,4,16,-3,,,
09-06-2023 11:01:24.293,3137,16,4,16,-3,,,
09-06-2023 11:01:24.312,3138,17,4,16,-3,,,
09-06-2023 11:01:24.332,3139,17,4,16,-3,,,
09-06-2023 11:01:24.353,3140,17,4,16,-3,,,
09-06-2023 11:01:24.371,3141,16,4,16,-3,,,
09-06-2023 11:01:24.393,3142,17,4,16,-3,,,
09-06-2023 11:01:24.413,3143,16,4,16,-3,,,
09-06-2023 11:01:24.436,3144,16,4,16,-3,,,
09-06-2023 11:01:24.453,3145,16,4,16,-3,,,
09-06-2023 11:01:24.471,3146,16,4,16,-3,,,
09-06-2023 11:01:24.495,3147,16,4,16,-3,,,
09-06-2023 11:01:24.512,3148,16,4,16,-3,,,
09-06-2023 11:01:24.534,3149,16,4,16,-3,,,
09-06-2023 11:01:24.550,3150,17,4,16,-3,,,
09-06-2023 11:01:24.573,3151,16,4,16,-3,,,
09-06-2023 11:01:24.591,3152,16,4,16,-3,,,
09-06-2023 11:01:24.614,3153,16,4,16,-3,,,
09-06-2023 11:01:24.632,3154,16,4,16,-3,,,
09-06-2023 11:01:24.650,3155,16,4,16,-3,,,
09-06-2023 11:01:24.670,3156,16,4,16,-3,,,
09-06-2023 11:01:24.691,3157,17,4,16,-3,,,
09-06-2023 11:01:24.711,3158,17,4,16,-3,,,
09-06-2023 11:01:24.730,3159,17,4,16,-3,,,
09-06-2023 11:01:24.752,3160,17,4,16,-3,,,
09-06-2023 11:01:24.771,3161,17,4,16,-3,,,
09-06-2023 11:01:24.791,3162,17,4,16,-3,,,
09-06-2023 11:01:24.813,3163,17,4,16,-3,,,
09-06-2023 11:01:24.833,3164,17,4,16,-3,,,
09-06-2023 11:01:24.851,3165,17,4,16,-3,,,
09-06-2023 11:01:24.871,3166,16,4,16,-3,,,
09-06-2023 11:01:24.892,3167,17,4,16,-3,,,
09-06-2023 11:01:24.913,3168,17,4,16,-3,,,
09-06-2023 11:01:24.931,3169,16,4,16,-3,,,
09-06-2023 11:01:24.951,3170,16,4,16,-3,,,
09-06-2023 11:01:24.973,3171,17,4,16,-3,,,
09-06-2023 11:01:24.992,3172,17,4,16,-3,,,
09-06-2023 11:01:25.013,3173,17,4,16,-3,,,
09-06-2023 11:01:25.033,3174,16,4,16,-3,,,
09-06-2023 11:01:25.056,3175,16,4,16,-3,,,
09-06-2023 11:01:25.071,3176,16,4,16,-3,,,
09-06-2023 11:01:25.092,3177,17,4,16,-3,,,
