Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,X_Vel,Z_Vel,Notes
09-06-2023 11:01:58.252,4835,15,-2,16,3,,,START STAND3
09-06-2023 11:01:58.273,4836,15,-2,16,3,,,
09-06-2023 11:01:58.292,4837,15,-2,16,3,,,
09-06-2023 11:01:58.313,4838,15,-2,16,3,,,
09-06-2023 11:01:58.330,4839,15,-2,16,3,,,
09-06-2023 11:01:58.351,4840,15,-2,16,3,,,
09-06-2023 11:01:58.371,4841,15,-2,16,3,,,
09-06-2023 11:01:58.392,4842,15,-2,16,3,,,
09-06-2023 11:01:58.411,4843,15,-2,16,3,,,
09-06-2023 11:01:58.431,4844,15,-2,16,3,,,
09-06-2023 11:01:58.452,4845,15,-2,16,3,,,
09-06-2023 11:01:58.470,4846,15,-2,16,3,,,
09-06-2023 11:01:58.491,4847,15,-2,16,3,,,
09-06-2023 11:01:58.513,4848,15,-2,16,3,,,
09-06-2023 11:01:58.531,4849,15,-2,16,3,,,
09-06-2023 11:01:58.551,4850,15,-2,16,3,,,
09-06-2023 11:01:58.572,4851,15,-2,16,3,,,
09-06-2023 11:01:58.593,4852,15,-2,16,3,,,
09-06-2023 11:01:58.613,4853,15,-2,16,3,,,
09-06-2023 11:01:58.632,4854,15,-2,16,3,,,
09-06-2023 11:01:58.652,4855,15,-2,16,3,,,
09-06-2023 11:01:58.673,4856,15,-2,16,3,,,
09-06-2023 11:01:58.692,4857,15,-2,16,3,,,
09-06-2023 11:01:58.712,4858,15,-2,16,3,,,
09-06-2023 11:01:58.731,4859,15,-2,16,3,,,
09-06-2023 11:01:58.753,4860,15,-2,16,3,,,
09-06-2023 11:01:58.770,4861,15,-2,16,3,,,
09-06-2023 11:01:58.791,4862,15,-2,16,3,,,
09-06-2023 11:01:58.813,4863,15,-2,16,3,,,
09-06-2023 11:01:58.831,4864,15,-2,16,3,,,
09-06-2023 11:01:58.851,4865,15,-2,16,3,,,
09-06-2023 11:01:58.871,4866,15,-2,16,3,,,
09-06-2023 11:01:58.891,4867,15,-2,16,3,,,
09-06-2023 11:01:58.914,4868,15,-2,16,3,,,
09-06-2023 11:01:58.930,4869,15,-2,16,3,,,
09-06-2023 11:01:58.950,4870,15,-2,16,3,,,
09-06-2023 11:01:58.971,4871,15,-2,16,3,,,
09-06-2023 11:01:58.990,4872,15,-2,16,3,,,
09-06-2023 11:01:59.012,4873,15,-2,16,3,,,
09-06-2023 11:01:59.033,4874,15,-2,16,3,,,
09-06-2023 11:01:59.055,4875,15,-2,16,3,,,
09-06-2023 11:01:59.071,4876,15,-2,16,3,,,
09-06-2023 11:01:59.090,4877,15,-2,16,3,,,
09-06-2023 11:01:59.112,4878,15,-2,16,3,,,
09-06-2023 11:01:59.135,4879,15,-2,16,3,,,
09-06-2023 11:01:59.151,4880,15,-2,16,3,,,
09-06-2023 11:01:59.174,4881,15,-2,16,3,,,
09-06-2023 11:01:59.191,4882,15,-2,16,3,,,
09-06-2023 11:01:59.211,4883,15,-2,16,3,,,
09-06-2023 11:01:59.232,4884,15,-2,16,3,,,
09-06-2023 11:01:59.250,4885,15,-2,16,3,,,
09-06-2023 11:01:59.277,4886,15,-2,16,3,,,
09-06-2023 11:01:59.291,4887,15,-2,16,3,,,
09-06-2023 11:01:59.310,4888,15,-2,16,3,,,
09-06-2023 11:01:59.332,4889,15,-2,16,3,,,
09-06-2023 11:01:59.350,4890,15,-2,16,3,,,
09-06-2023 11:01:59.373,4891,15,-2,16,3,,,
09-06-2023 11:01:59.392,4892,15,-2,16,3,,,
09-06-2023 11:01:59.412,4893,15,-2,16,3,,,
09-06-2023 11:01:59.432,4894,15,-2,16,3,,,
09-06-2023 11:01:59.452,4895,15,-2,16,3,,,
09-06-2023 11:01:59.471,4896,15,-2,16,3,,,
09-06-2023 11:01:59.494,4897,15,-2,16,3,,,
09-06-2023 11:01:59.513,4898,15,-2,16,3,,,
09-06-2023 11:01:59.533,4899,15,-2,16,3,,,
09-06-2023 11:01:59.551,4900,15,-2,16,3,,,
09-06-2023 11:01:59.572,4901,15,-2,16,3,,,
09-06-2023 11:01:59.590,4902,15,-2,16,3,,,
09-06-2023 11:01:59.614,4903,15,-2,16,3,,,
09-06-2023 11:01:59.632,4904,15,-2,16,3,,,
09-06-2023 11:01:59.651,4905,15,-2,16,3,,,
09-06-2023 11:01:59.672,4906,15,-2,16,3,,,
09-06-2023 11:01:59.691,4907,15,-2,16,3,,,
09-06-2023 11:01:59.711,4908,15,-2,16,3,,,
09-06-2023 11:01:59.732,4909,15,-2,16,3,,,
09-06-2023 11:01:59.751,4910,15,-2,16,3,,,
09-06-2023 11:01:59.771,4911,15,-2,16,3,,,
09-06-2023 11:01:59.792,4912,15,-2,16,3,,,
09-06-2023 11:01:59.813,4913,15,-2,16,3,,,
09-06-2023 11:01:59.831,4914,15,-2,16,3,,,
09-06-2023 11:01:59.850,4915,15,-2,16,3,,,
09-06-2023 11:01:59.870,4916,15,-2,16,3,,,
09-06-2023 11:01:59.890,4917,15,-2,16,3,,,
09-06-2023 11:01:59.911,4918,15,-2,16,3,,,
09-06-2023 11:01:59.930,4919,15,-2,16,3,,,
09-06-2023 11:01:59.952,4920,15,-2,16,3,,,
09-06-2023 11:01:59.971,4921,15,-2,16,3,,,
09-06-2023 11:01:59.990,4922,15,-2,16,3,,,
09-06-2023 11:02:00.013,4923,15,-2,16,3,,,
09-06-2023 11:02:00.031,4924,15,-2,16,3,,,
09-06-2023 11:02:00.050,4925,15,-2,16,3,,,
09-06-2023 11:02:00.076,4926,15,-2,16,3,,,
09-06-2023 11:02:00.093,4927,15,-2,16,3,,,
09-06-2023 11:02:00.116,4928,15,-2,16,3,,,
09-06-2023 11:02:00.132,4929,15,-2,16,3,,,
09-06-2023 11:02:00.155,4930,15,-2,16,3,,,
09-06-2023 11:02:00.172,4931,15,-2,16,3,,,
09-06-2023 11:02:00.193,4932,15,-2,16,3,,,
09-06-2023 11:02:00.216,4933,15,-2,16,3,,,
09-06-2023 11:02:00.231,4934,15,-2,16,3,,,
09-06-2023 11:02:00.250,4935,15,-2,16,3,,,
09-06-2023 11:02:00.272,4936,15,-2,16,3,,,
