Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,X_Vel,Z_Vel,Notes
12-06-2023 18:06:54.980,6273,19,3,18,-4,,,
12-06-2023 18:06:55.001,6274,19,3,18,-4,,,START WALK 2B
12-06-2023 18:06:55.023,6275,19,3,18,-4,,,
12-06-2023 18:06:55.039,6276,19,3,18,-4,,,
12-06-2023 18:06:55.057,6277,19,3,18,-4,,,
12-06-2023 18:06:55.082,6278,19,3,18,-4,,,
12-06-2023 18:06:55.100,6279,19,3,18,-4,,,
12-06-2023 18:06:55.123,6280,19,4,18,-4,,,
12-06-2023 18:06:55.137,6281,19,4,18,-4,,,
12-06-2023 18:06:55.160,6282,19,4,18,-4,,,
12-06-2023 18:06:55.182,6283,19,4,18,-4,,,
12-06-2023 18:06:55.198,6284,19,4,18,-4,,,
12-06-2023 18:06:55.220,6285,19,4,18,-4,,,
12-06-2023 18:06:55.240,6286,19,3,18,-5,,,
12-06-2023 18:06:55.262,6287,19,3,19,-5,,,
12-06-2023 18:06:55.279,6288,19,3,19,-5,,,
12-06-2023 18:06:55.299,6289,19,4,19,-5,,,
12-06-2023 18:06:55.321,6290,19,4,20,-6,,,
12-06-2023 18:06:55.339,6291,19,4,20,-7,,,
12-06-2023 18:06:55.358,6292,19,4,20,-7,,,
12-06-2023 18:06:55.380,6293,19,4,20,-6,,,
12-06-2023 18:06:55.400,6294,19,4,20,-6,,,
12-06-2023 18:06:55.424,6295,19,4,21,-6,,,
12-06-2023 18:06:55.442,6296,19,4,22,-6,,,
12-06-2023 18:06:55.457,6297,18,3,23,-6,,,
12-06-2023 18:06:55.481,6298,18,3,25,-6,,,
12-06-2023 18:06:55.505,6299,18,3,27,-6,,,
12-06-2023 18:06:55.520,6300,18,3,28,-6,,,
12-06-2023 18:06:55.539,6301,18,3,28,-5,,,
12-06-2023 18:06:55.564,6302,18,3,29,-5,,,
12-06-2023 18:06:55.579,6303,18,3,30,-4,,,
12-06-2023 18:06:55.599,6304,18,3,29,-4,,,
12-06-2023 18:06:55.621,6305,18,3,28,-4,,,
12-06-2023 18:06:55.641,6306,18,4,27,-4,,,
12-06-2023 18:06:55.658,6307,16,4,25,-5,,,
12-06-2023 18:06:55.677,6308,17,4,24,-5,,,
12-06-2023 18:06:55.702,6309,20,5,22,-5,,,
12-06-2023 18:06:55.721,6310,27,4,22,-5,,,
12-06-2023 18:06:55.738,6311,30,5,21,-6,,,
12-06-2023 18:06:55.760,6312,36,4,21,-6,,,
12-06-2023 18:06:55.778,6313,34,7,20,-6,,,
12-06-2023 18:06:55.802,6314,33,7,19,-6,,,
12-06-2023 18:06:55.819,6315,29,9,17,-7,,,
12-06-2023 18:06:55.841,6316,27,13,16,-7,,,
12-06-2023 18:06:55.863,6317,28,11,15,-7,,,
12-06-2023 18:06:55.879,6318,30,10,15,-7,,,
12-06-2023 18:06:55.900,6319,31,2,15,-6,,,
12-06-2023 18:06:55.921,6320,30,6,16,-6,,,
12-06-2023 18:06:55.938,6321,22,14,17,-5,,,
12-06-2023 18:06:55.959,6322,27,11,17,-5,,,
12-06-2023 18:06:55.980,6323,26,11,17,-4,,,
12-06-2023 18:06:55.998,6324,25,9,18,-5,,,
12-06-2023 18:06:56.019,6325,24,9,21,-6,,,
12-06-2023 18:06:56.040,6326,24,9,24,-6,,,
12-06-2023 18:06:56.058,6327,24,8,29,-5,,,
12-06-2023 18:06:56.083,6328,22,9,37,-5,,,
12-06-2023 18:06:56.101,6329,22,9,37,-8,,,
12-06-2023 18:06:56.120,6330,23,7,30,-8,,,
12-06-2023 18:06:56.138,6331,24,6,22,-10,,,
12-06-2023 18:06:56.158,6332,24,6,18,-11,,,
12-06-2023 18:06:56.179,6333,26,5,16,-15,,,
12-06-2023 18:06:56.198,6334,27,4,13,-16,,,
12-06-2023 18:06:56.222,6335,26,5,13,-19,,,
12-06-2023 18:06:56.240,6336,25,5,14,-18,,,
12-06-2023 18:06:56.263,6337,24,3,18,-13,,,
12-06-2023 18:06:56.281,6338,24,3,18,-13,,,
12-06-2023 18:06:56.302,6339,22,3,22,-13,,,
12-06-2023 18:06:56.320,6340,18,4,24,-13,,,
12-06-2023 18:06:56.338,6341,16,4,24,-14,,,
12-06-2023 18:06:56.360,6342,13,5,25,-11,,,
12-06-2023 18:06:56.379,6343,13,5,25,-11,,,
12-06-2023 18:06:56.400,6344,13,5,24,-10,,,
12-06-2023 18:06:56.419,6345,14,4,23,-10,,,
12-06-2023 18:06:56.438,6346,16,4,22,-9,,,
12-06-2023 18:06:56.458,6347,16,4,22,-9,,,
12-06-2023 18:06:56.477,6348,16,4,23,-8,,,
12-06-2023 18:06:56.497,6349,19,4,24,-7,,,
12-06-2023 18:06:56.521,6350,21,4,24,-7,,,
12-06-2023 18:06:56.541,6351,25,4,25,-6,,,
12-06-2023 18:06:56.559,6352,28,3,26,-6,,,
12-06-2023 18:06:56.584,6353,30,3,28,-5,,,
12-06-2023 18:06:56.600,6354,32,3,30,-4,,,
12-06-2023 18:06:56.618,6355,31,4,33,-3,,,
12-06-2023 18:06:56.640,6356,31,4,33,-2,,,
12-06-2023 18:06:56.661,6357,30,5,34,-2,,,
12-06-2023 18:06:56.681,6358,27,7,35,-1,,,
12-06-2023 18:06:56.702,6359,25,8,35,-1,,,
12-06-2023 18:06:56.726,6360,23,11,31,-2,,,
12-06-2023 18:06:56.742,6361,24,10,30,-2,,,
12-06-2023 18:06:56.758,6362,26,8,28,-3,,,
12-06-2023 18:06:56.781,6363,30,5,24,-5,,,
12-06-2023 18:06:56.800,6364,30,3,19,-6,,,
12-06-2023 18:06:56.822,6365,27,6,17,-6,,,
12-06-2023 18:06:56.838,6366,24,6,14,-7,,,
12-06-2023 18:06:56.862,6367,28,6,14,-5,,,
12-06-2023 18:06:56.883,6368,29,5,15,-7,,,
12-06-2023 18:06:56.898,6369,31,3,19,-8,,,
12-06-2023 18:06:56.920,6370,32,3,22,-11,,,
12-06-2023 18:06:56.945,6371,34,1,19,-12,,,
12-06-2023 18:06:56.960,6372,34,0,17,-14,,,
12-06-2023 18:06:56.982,6373,34,0,15,-14,,,
12-06-2023 18:06:57.003,6374,33,-1,10,-16,,,
12-06-2023 18:06:57.017,6375,33,-1,4,-21,,,
12-06-2023 18:06:57.038,6376,34,0,3,-23,,,
12-06-2023 18:06:57.065,6377,35,0,6,-24,,,
12-06-2023 18:06:57.081,6378,34,1,12,-25,,,
12-06-2023 18:06:57.099,6379,33,1,17,-12,,,
12-06-2023 18:06:57.121,6380,34,1,17,-17,,,
12-06-2023 18:06:57.140,6381,36,1,15,-18,,,
12-06-2023 18:06:57.165,6382,40,-1,15,-19,,,
12-06-2023 18:06:57.182,6383,40,-1,14,-16,,,
12-06-2023 18:06:57.199,6384,42,1,13,-15,,,
12-06-2023 18:06:57.223,6385,42,1,11,-15,,,
12-06-2023 18:06:57.242,6386,44,2,10,-14,,,
12-06-2023 18:06:57.265,6387,45,1,10,-13,,,
12-06-2023 18:06:57.280,6388,43,4,11,-12,,,
12-06-2023 18:06:57.302,6389,40,4,11,-12,,,
12-06-2023 18:06:57.324,6390,33,4,11,-13,,,
12-06-2023 18:06:57.342,6391,31,5,11,-12,,,
12-06-2023 18:06:57.361,6392,28,6,11,-11,,,
12-06-2023 18:06:57.380,6393,23,4,11,-11,,,
12-06-2023 18:06:57.398,6394,20,5,11,-11,,,
12-06-2023 18:06:57.422,6395,18,6,11,-10,,,
12-06-2023 18:06:57.438,6396,15,8,11,-10,,,
12-06-2023 18:06:57.459,6397,13,10,12,-9,,,
12-06-2023 18:06:57.484,6398,12,11,12,-9,,,
12-06-2023 18:06:57.499,6399,13,13,13,-8,,,
12-06-2023 18:06:57.521,6400,16,15,13,-7,,,
12-06-2023 18:06:57.542,6401,17,12,14,-7,,,
12-06-2023 18:06:57.564,6402,16,4,14,-7,,,
12-06-2023 18:06:57.582,6403,22,5,15,-6,,,
12-06-2023 18:06:57.602,6404,22,4,16,-6,,,
12-06-2023 18:06:57.620,6405,7,7,15,-5,,,
12-06-2023 18:06:57.644,6406,12,9,16,-5,,,
12-06-2023 18:06:57.662,6407,11,9,16,-6,,,
12-06-2023 18:06:57.681,6408,10,7,16,-5,,,
12-06-2023 18:06:57.701,6409,10,7,16,-6,,,
12-06-2023 18:06:57.720,6410,11,7,17,-5,,,
12-06-2023 18:06:57.742,6411,11,7,17,-5,,,
12-06-2023 18:06:57.765,6412,11,6,18,-5,,,
12-06-2023 18:06:57.778,6413,11,6,18,-5,,,
12-06-2023 18:06:57.800,6414,12,6,18,-5,,,
12-06-2023 18:06:57.819,6415,12,6,18,-5,,,
12-06-2023 18:06:57.845,6416,12,6,18,-5,,,
12-06-2023 18:06:57.858,6417,12,6,18,-5,,,
12-06-2023 18:06:57.883,6418,12,5,19,-4,,,
12-06-2023 18:06:57.897,6419,12,5,19,-4,,,
12-06-2023 18:06:57.920,6420,12,5,19,-4,,,
12-06-2023 18:06:57.942,6421,13,4,19,-4,,,
12-06-2023 18:06:57.958,6422,13,4,19,-4,,,
12-06-2023 18:06:57.982,6423,13,4,19,-4,,,
12-06-2023 18:06:58.002,6424,13,4,19,-4,,,
12-06-2023 18:06:58.022,6425,13,4,19,-4,,,
12-06-2023 18:06:58.040,6426,13,4,19,-4,,,
12-06-2023 18:06:58.063,6427,13,4,19,-4,,,
12-06-2023 18:06:58.079,6428,13,4,19,-4,,,
12-06-2023 18:06:58.101,6429,13,4,20,-4,,,
12-06-2023 18:06:58.122,6430,13,4,20,-4,,,
12-06-2023 18:06:58.143,6431,13,4,20,-4,,,
12-06-2023 18:06:58.159,6432,13,4,20,-4,,,
12-06-2023 18:06:58.181,6433,13,4,20,-4,,,
12-06-2023 18:06:58.201,6434,13,4,20,-4,,,
12-06-2023 18:06:58.220,6435,14,4,20,-4,,,
12-06-2023 18:06:58.240,6436,14,3,20,-4,,,
12-06-2023 18:06:58.259,6437,14,3,20,-4,,,
12-06-2023 18:06:58.278,6438,14,3,20,-4,,,
12-06-2023 18:06:58.300,6439,14,3,20,-4,,,
12-06-2023 18:06:58.322,6440,14,3,20,-4,,,
12-06-2023 18:06:58.342,6441,14,3,20,-4,,,
12-06-2023 18:06:58.365,6442,14,3,20,-4,,,
12-06-2023 18:06:58.381,6443,14,3,20,-4,,,
12-06-2023 18:06:58.405,6444,14,3,20,-4,,,
12-06-2023 18:06:58.422,6445,14,3,20,-4,,,
12-06-2023 18:06:58.439,6446,14,3,20,-4,,,
12-06-2023 18:06:58.465,6447,14,3,20,-4,,,
12-06-2023 18:06:58.480,6448,14,3,20,-4,,,
12-06-2023 18:06:58.506,6449,14,3,20,-4,,,
12-06-2023 18:06:58.518,6450,14,3,20,-4,,,
12-06-2023 18:06:58.538,6451,14,3,20,-4,,,
12-06-2023 18:06:58.562,6452,14,3,20,-4,,,
12-06-2023 18:06:58.579,6453,14,3,20,-4,,,
12-06-2023 18:06:58.597,6454,14,3,20,-4,,,
12-06-2023 18:06:58.617,6455,14,3,20,-4,,,
12-06-2023 18:06:58.637,6456,14,2,20,-3,,,
12-06-2023 18:06:58.662,6457,14,2,20,-3,,,
12-06-2023 18:06:58.681,6458,15,2,20,-3,,,
12-06-2023 18:06:58.702,6459,17,2,20,-3,,,
12-06-2023 18:06:58.720,6460,19,2,20,-3,,,
12-06-2023 18:06:58.742,6461,20,2,20,-3,,,
12-06-2023 18:06:58.759,6462,22,2,20,-3,,,
12-06-2023 18:06:58.779,6463,23,2,20,-3,,,
12-06-2023 18:06:58.806,6464,24,1,20,-3,,,
12-06-2023 18:06:58.821,6465,24,2,20,-3,,,
12-06-2023 18:06:58.842,6466,23,2,20,-3,,,
12-06-2023 18:06:58.862,6467,22,2,20,-3,,,
12-06-2023 18:06:58.880,6468,21,2,20,-3,,,
12-06-2023 18:06:58.901,6469,19,3,20,-3,,,
